feature_name,correlation_cluster,rank_ic_q_bh,rank_ic_mean,coverage,cluster_representative
oi_surprise_60,1,0.27547787149104597,-0.011350765759416065,0.9952196948571884,True
oi_surprise_20,1,0.5753919847121066,-0.008327142234514062,0.9968131299047922,False
volume_shock_20,2,0.9696173510773963,-0.00045530661900943355,0.9968928016571724,True
volume_shock_60,3,0.7286047081983691,-0.007742836114042217,0.9952993666095685,True
oi_growth_5,4,0.7286047081983691,-0.007370939897701236,0.9972911604190734,True
oi_growth_20,5,0.8159528855426698,-0.00622109880289965,0.9960960841333705,True
interaction__tsmom_20__oi_surprise_20,6,0.03195360240909626,-0.017482884286547807,0.996275345576226,True
basis_momentum_5,7,0.678005921981148,0.008653622996688164,0.9972911604190734,True
carry_change_5,7,0.7286047081983691,0.006263900126922533,0.9972911604190734,False
basis_momentum_20,8,0.8159528855426698,-0.006114435991211052,0.9960960841333705,True
carry_change_20,8,0.8159528855426698,-0.00524053896271223,0.9960960841333705,False
carry_change_60,9,0.5849051387099319,0.01155978102253184,0.9929092140381628,True
basis_momentum_60,9,0.7286047081983691,0.009704576579170284,0.9929092140381628,False
carry,10,0.0015610762531804323,0.041299861980600046,0.9976895191809744,True
curve_curvature,11,0.053380393658631134,-0.021403999556583866,0.9954387921762339,True
interaction__tsmom_60__carry,12,0.9149406152990651,0.004362483954644517,0.9935067521810143,True
interaction__momentum_quality_60__carry,12,0.9305010279728382,0.0035874818315405656,0.9935067521810143,False
trend_efficiency_60,13,0.9305010279728382,0.0037749053021433597,0.9935067521810143,True
trend_efficiency_120,14,0.7286047081983691,-0.010440031584304439,0.989323985181054,True
trend_efficiency_20,15,0.9664035909758987,-0.0016688174531665873,0.996295263514321,True
realized_skew_60,16,0.19097896346465082,-0.022993121945782187,0.9952993666095685,True
realized_skew_120,17,0.21916704333002232,-0.021492374564330414,0.9929092140381628,True
term_structure_momentum_20,18,0.9664035909758987,0.001444685213808193,0.9960960841333705,True
term_structure_acceleration_20,19,0.9664035909758987,-0.0016215484159664566,0.9945026490857667,True
term_structure_momentum_5,20,0.8159528855426698,0.006524549339076303,0.9972911604190734,True
term_structure_acceleration_5,21,0.7286047081983691,0.007373332518298787,0.9968928016571724,True
reversal_5,22,0.4915619792194876,0.01685606386452517,0.9997012309285743,True
tsmom_120,23,0.7286047081983691,0.011693752991587526,0.989323985181054,True
csmom_120,23,0.7286047081983691,0.011427759184140733,0.9928295422857826,False
momentum_quality_120,23,0.7286047081983691,0.011149109779767219,0.989323985181054,False
value_252,24,0.9305010279728382,-0.00507029693008342,0.9925307732143569,True
value_120,24,0.9696173510773963,-0.0008240407039938961,0.9948014181571924,False
multi_horizon_trend,25,0.8159528855426698,0.007633650065622718,0.9928295422857826,True
value_60,26,0.9664035909758987,0.00220029218382367,0.9959367406286102,True
tsmom_60,27,0.9664035909758987,0.003037465690774562,0.9935067521810143,True
momentum_quality_60,27,0.9664035909758987,0.002558738405927925,0.9935067521810143,False
csmom_60,27,0.9696173510773963,0.0009961340747351162,0.9964147711428913,False
relative_value_residual_60,28,0.9305010279728382,-0.0036246589879053094,0.9935067521810143,True
vol_managed_momentum_60,29,0.5753919847121066,0.01446942860143675,0.9935067521810143,True
vol_managed_momentum_120,30,0.4538547958066392,0.01585906166955818,0.989323985181054,True
csmom_20,31,0.7286047081983691,-0.011451687104314484,0.9988049237142971,True
reversal_20,31,0.7286047081983691,0.011451687104314484,0.9988049237142971,False
momentum_quality_20,31,0.9664035909758987,-0.002009061424140227,0.996295263514321,False
tsmom_20,31,0.9664035909758987,-0.001683632792223865,0.996295263514321,False
vol_managed_momentum_20,32,0.7286047081983691,0.012022698773056317,0.996295263514321,True
volume_price_divergence_20,33,0.9664035909758987,-0.0027080145134837923,0.9913157789905589,True
term_structure_slope,34,0.03195360240909626,0.03953594332095698,0.9976895191809744,True
term_structure_momentum_60,35,0.6242503569809805,0.013328043594284586,0.9929092140381628,True
price_oi_20,36,0.9683874579425668,0.0010952693140694242,0.9960960841333705,True
realized_vol_120,37,0.8159528855426698,-0.00944778625766159,0.9929092140381628,True
low_vol_20,37,0.8159528855426698,0.008612431954384773,0.9968928016571724,False
realized_vol_20,37,0.8159528855426698,-0.008612431954384773,0.9968928016571724,False
low_vol_60,37,0.8330682624888416,0.007895157536895106,0.9952993666095685,False
realized_vol_60,37,0.8330682624888416,-0.007895157536895106,0.9952993666095685,False
idiosyncratic_vol_60,38,0.4538547958066392,-0.017830376609828526,0.9952993666095685,True
volume_oi_turnover,39,0.8861713828483682,-0.0053974956660480244,0.9976895191809744,True
amihud_20,40,0.9865933416806811,-0.0001592709761959851,0.9968928016571724,True
seasonality_3y_month,41,0.7286047081983691,0.012317321510797669,0.9563000438194638,True
correlation_risk_20_120,42,0.27547787149104597,0.020738144949461995,0.9929092140381628,True
