feature_name,source_factor,source_factor_id,usage_type,catalog_direction,category
tsmom_60__csz,tsmom_60,1,predictor,1,trend_momentum
tsmom_60__missing,tsmom_60,1,quality_flag,1,data_quality
csmom_60__csz,csmom_60,2,predictor,1,trend_momentum
csmom_60__missing,csmom_60,2,quality_flag,1,data_quality
trend_efficiency_60__csz,trend_efficiency_60,3,predictor,0,trend_momentum
trend_efficiency_60__missing,trend_efficiency_60,3,quality_flag,0,data_quality
multi_horizon_trend__csz,multi_horizon_trend,4,predictor,1,trend_momentum
multi_horizon_trend__missing,multi_horizon_trend,4,quality_flag,1,data_quality
carry_annualized__csz,carry_annualized,5,predictor,1,term_structure
carry_annualized__missing,carry_annualized,5,quality_flag,1,data_quality
carry_change_20__csz,carry_change_20,6,predictor,1,term_structure
carry_change_20__missing,carry_change_20,6,quality_flag,1,data_quality
basis_fresh__csz,basis_fresh,7,predictor,1,basis_spot
basis_fresh__missing,basis_fresh,7,quality_flag,1,data_quality
basis_shock_20__csz,basis_shock_20,8,predictor,1,basis_spot
basis_shock_20__missing,basis_shock_20,8,quality_flag,1,data_quality
basis_momentum_20__csz,basis_momentum_20,9,predictor,1,basis_spot
basis_momentum_20__missing,basis_momentum_20,9,quality_flag,1,data_quality
curve_curvature__csz,curve_curvature,10,predictor,0,term_structure
curve_curvature__missing,curve_curvature,10,quality_flag,0,data_quality
value_252__csz,value_252,11,predictor,1,value_reversion
value_252__missing,value_252,11,quality_flag,1,data_quality
short_reversal_5__csz,short_reversal_5,12,predictor,1,value_reversion
inventory_scarcity__csz,inventory_scarcity,13,predictor,1,inventory_fundamental
inventory_scarcity__missing,inventory_scarcity,13,quality_flag,1,data_quality
inventory_change_5__csz,inventory_change_5,14,predictor,1,inventory_fundamental
inventory_change_5__missing,inventory_change_5,14,quality_flag,1,data_quality
inventory_surprise__csz,inventory_surprise,15,predictor,1,information_news
inventory_surprise__missing,inventory_surprise,15,quality_flag,1,data_quality
warehouse_tightness__csz,warehouse_tightness,16,predictor,1,inventory_fundamental
warehouse_tightness__missing,warehouse_tightness,16,quality_flag,1,data_quality
tightness_composite__csz,tightness_composite,17,predictor,1,inventory_fundamental
tightness_composite__missing,tightness_composite,17,quality_flag,1,data_quality
oi_growth_20__csz,oi_growth_20,18,conditional,0,trading_liquidity
oi_growth_20__missing,oi_growth_20,18,quality_flag,0,data_quality
price_oi_interaction_20__csz,price_oi_interaction_20,19,predictor,1,trading_liquidity
price_oi_interaction_20__missing,price_oi_interaction_20,19,quality_flag,1,data_quality
volume_shock_20__csz,volume_shock_20,21,conditional,0,trading_liquidity
volume_shock_20__missing,volume_shock_20,21,quality_flag,0,data_quality
amihud_20__csz,amihud_20,22,risk,-1,trading_liquidity
amihud_20__missing,amihud_20,22,quality_flag,-1,data_quality
turnover_oi__csz,turnover_oi,23,conditional,0,trading_liquidity
realized_volatility_20__csz,realized_volatility_20,24,risk,0,volatility_risk
realized_volatility_20__missing,realized_volatility_20,24,quality_flag,0,data_quality
low_volatility_20__csz,low_volatility_20,25,risk,1,volatility_risk
low_volatility_20__missing,low_volatility_20,25,quality_flag,1,data_quality
realized_skewness_60__csz,realized_skewness_60,26,risk,-1,volatility_risk
realized_skewness_60__missing,realized_skewness_60,26,quality_flag,-1,data_quality
seasonality_3y__csz,seasonality_3y,27,predictor,1,value_reversion
seasonality_3y__missing,seasonality_3y,27,quality_flag,1,data_quality
sector_relative_value_60__csz,sector_relative_value_60,29,predictor,1,industry_chain
sector_relative_value_60__missing,sector_relative_value_60,29,quality_flag,1,data_quality
factor_momentum__tsz,factor_momentum,32,conditional,0,meta_factor
factor_momentum__missing,factor_momentum,32,quality_flag,0,data_quality
fundamental_composite_news__csz,fundamental_composite_news,33,predictor,1,information_news
fundamental_composite_news__missing,fundamental_composite_news,33,quality_flag,1,data_quality
fundamental_underreaction__csz,fundamental_underreaction,34,predictor,1,information_news
fundamental_underreaction__missing,fundamental_underreaction,34,quality_flag,1,data_quality
information_consistency__csz,information_consistency,35,predictor,1,information_news
information_consistency__missing,information_consistency,35,quality_flag,1,data_quality
