feature_name,source_factor,usage_type,catalog_direction,resolved_direction,direction_source,train_rank_ic,fold_id,test_year
tsmom_60__csz,tsmom_60,predictor,1,1,catalog,-0.01736349335771355,fold_2025,2025
tsmom_60__missing,tsmom_60,quality_flag,1,1,catalog,-0.005945846753662364,fold_2025,2025
csmom_60__csz,csmom_60,predictor,1,1,catalog,-0.019613428995376936,fold_2025,2025
csmom_60__missing,csmom_60,quality_flag,1,1,catalog,-0.005945846753662364,fold_2025,2025
trend_efficiency_60__csz,trend_efficiency_60,predictor,0,1,train_rank_ic,0.000872089403598393,fold_2025,2025
trend_efficiency_60__missing,trend_efficiency_60,quality_flag,0,-1,train_rank_ic,0.005945846753662364,fold_2025,2025
multi_horizon_trend__csz,multi_horizon_trend,predictor,1,1,catalog,-0.008053383538801074,fold_2025,2025
multi_horizon_trend__missing,multi_horizon_trend,quality_flag,1,1,catalog,0.003532535127763706,fold_2025,2025
carry_annualized__csz,carry_annualized,predictor,1,1,catalog,0.02385280306857514,fold_2025,2025
carry_annualized__missing,carry_annualized,quality_flag,1,1,catalog,-0.007017159073468688,fold_2025,2025
carry_change_20__csz,carry_change_20,predictor,1,1,catalog,-0.006356975471040637,fold_2025,2025
carry_change_20__missing,carry_change_20,quality_flag,1,1,catalog,-0.03378279733944076,fold_2025,2025
basis_fresh__csz,basis_fresh,predictor,1,1,catalog,0.02772254431761714,fold_2025,2025
basis_fresh__missing,basis_fresh,quality_flag,1,1,catalog,0.02538347911932137,fold_2025,2025
basis_shock_20__csz,basis_shock_20,predictor,1,1,catalog,0.004703924098077296,fold_2025,2025
basis_shock_20__missing,basis_shock_20,quality_flag,1,1,catalog,0.025206271627475473,fold_2025,2025
basis_momentum_20__csz,basis_momentum_20,predictor,1,1,catalog,-0.016738267255187917,fold_2025,2025
basis_momentum_20__missing,basis_momentum_20,quality_flag,1,1,catalog,0.025275190298270064,fold_2025,2025
curve_curvature__csz,curve_curvature,predictor,0,-1,train_rank_ic,0.006342579966808738,fold_2025,2025
curve_curvature__missing,curve_curvature,quality_flag,0,-1,train_rank_ic,0.010318701947860645,fold_2025,2025
value_252__csz,value_252,predictor,1,1,catalog,0.017580042520557056,fold_2025,2025
value_252__missing,value_252,quality_flag,1,1,catalog,-0.00393849112274443,fold_2025,2025
short_reversal_5__csz,short_reversal_5,predictor,1,1,catalog,0.012011388794623688,fold_2025,2025
inventory_scarcity__csz,inventory_scarcity,predictor,1,1,catalog,0.0011387427754529934,fold_2025,2025
inventory_scarcity__missing,inventory_scarcity,quality_flag,1,1,catalog,-0.006509132758431587,fold_2025,2025
inventory_change_5__csz,inventory_change_5,predictor,1,1,catalog,0.01215137764743301,fold_2025,2025
inventory_change_5__missing,inventory_change_5,quality_flag,1,1,catalog,-0.00015722693441431917,fold_2025,2025
inventory_surprise__csz,inventory_surprise,predictor,1,1,catalog,0.007857503693609052,fold_2025,2025
inventory_surprise__missing,inventory_surprise,quality_flag,1,1,catalog,0.003031332001037148,fold_2025,2025
warehouse_tightness__csz,warehouse_tightness,predictor,1,1,catalog,0.03022268696520992,fold_2025,2025
warehouse_tightness__missing,warehouse_tightness,quality_flag,1,1,catalog,0.016708431797905755,fold_2025,2025
tightness_composite__csz,tightness_composite,predictor,1,1,catalog,0.025255010122962676,fold_2025,2025
tightness_composite__missing,tightness_composite,quality_flag,1,1,catalog,0.019526973380239183,fold_2025,2025
oi_growth_20__csz,oi_growth_20,conditional,0,1,train_rank_ic,0.003454864200782573,fold_2025,2025
oi_growth_20__missing,oi_growth_20,quality_flag,0,1,train_rank_ic,0.003079786680775176,fold_2025,2025
price_oi_interaction_20__csz,price_oi_interaction_20,predictor,1,1,catalog,-0.003882283542476586,fold_2025,2025
price_oi_interaction_20__missing,price_oi_interaction_20,quality_flag,1,1,catalog,-0.000318976521381273,fold_2025,2025
volume_shock_20__csz,volume_shock_20,conditional,0,-1,train_rank_ic,0.007086163372132246,fold_2025,2025
volume_shock_20__missing,volume_shock_20,quality_flag,0,-1,train_rank_ic,0.06471610886328225,fold_2025,2025
amihud_20__csz,amihud_20,risk,-1,-1,catalog,0.0032071379617737514,fold_2025,2025
amihud_20__missing,amihud_20,quality_flag,-1,-1,catalog,-0.002658141210024313,fold_2025,2025
turnover_oi__csz,turnover_oi,conditional,0,1,train_rank_ic,0.006336451401447297,fold_2025,2025
realized_volatility_20__csz,realized_volatility_20,risk,0,1,train_rank_ic,0.01628697374726869,fold_2025,2025
realized_volatility_20__missing,realized_volatility_20,quality_flag,0,-1,train_rank_ic,0.0010061657842759942,fold_2025,2025
low_volatility_20__csz,low_volatility_20,risk,1,1,catalog,-0.016289715074816614,fold_2025,2025
low_volatility_20__missing,low_volatility_20,quality_flag,1,1,catalog,-0.0010061657842759942,fold_2025,2025
realized_skewness_60__csz,realized_skewness_60,risk,-1,-1,catalog,0.021363586687035856,fold_2025,2025
realized_skewness_60__missing,realized_skewness_60,quality_flag,-1,-1,catalog,0.005945846753662364,fold_2025,2025
seasonality_3y__csz,seasonality_3y,predictor,1,1,catalog,-0.018292856983221424,fold_2025,2025
seasonality_3y__missing,seasonality_3y,quality_flag,1,1,catalog,-0.009249115290302303,fold_2025,2025
sector_relative_value_60__csz,sector_relative_value_60,predictor,1,1,catalog,-0.0015733471879618576,fold_2025,2025
sector_relative_value_60__missing,sector_relative_value_60,quality_flag,1,1,catalog,-0.005945846753662364,fold_2025,2025
factor_momentum__tsz,factor_momentum,conditional,0,1,train_rank_ic,,fold_2025,2025
factor_momentum__missing,factor_momentum,quality_flag,0,1,train_rank_ic,,fold_2025,2025
fundamental_composite_news__csz,fundamental_composite_news,predictor,1,1,catalog,0.00541364260391156,fold_2025,2025
fundamental_composite_news__missing,fundamental_composite_news,quality_flag,1,1,catalog,0.018333103943207814,fold_2025,2025
fundamental_underreaction__csz,fundamental_underreaction,predictor,1,1,catalog,0.0085935792863575,fold_2025,2025
fundamental_underreaction__missing,fundamental_underreaction,quality_flag,1,1,catalog,0.018495903311778587,fold_2025,2025
information_consistency__csz,information_consistency,predictor,1,1,catalog,0.024714744337151463,fold_2025,2025
information_consistency__missing,information_consistency,quality_flag,1,1,catalog,0.019526973380239183,fold_2025,2025
information_divergence__csz,information_divergence,predictor,0,1,train_rank_ic,0.028793330497383123,fold_2025,2025
information_divergence__missing,information_divergence,quality_flag,0,1,train_rank_ic,0.020006066288409098,fold_2025,2025
warehouse_surprise__csz,warehouse_surprise,predictor,1,1,catalog,0.008298555973794735,fold_2025,2025
warehouse_surprise__missing,warehouse_surprise,quality_flag,1,1,catalog,0.0016699471706346143,fold_2025,2025
momentum_quality_60__csz,momentum_quality_60,predictor,1,1,catalog,-0.01756395565261117,fold_2025,2025
momentum_quality_60__missing,momentum_quality_60,quality_flag,1,1,catalog,-0.005945846753662364,fold_2025,2025
vol_managed_momentum__csz,vol_managed_momentum,predictor,1,1,catalog,0.006356713504788124,fold_2025,2025
vol_managed_momentum__missing,vol_managed_momentum,quality_flag,1,1,catalog,-0.005945846753662364,fold_2025,2025
idiosyncratic_volatility_60__csz,idiosyncratic_volatility_60,risk,0,1,train_rank_ic,0.015836347446157552,fold_2025,2025
idiosyncratic_volatility_60__missing,idiosyncratic_volatility_60,quality_flag,0,1,train_rank_ic,0.004472172156991665,fold_2025,2025
term_structure_slope__csz,term_structure_slope,predictor,1,1,catalog,0.02223747608770858,fold_2025,2025
term_structure_slope__missing,term_structure_slope,quality_flag,1,1,catalog,-0.010318701947860645,fold_2025,2025
term_structure_momentum__csz,term_structure_momentum,predictor,1,1,catalog,0.013314233685289396,fold_2025,2025
term_structure_momentum__missing,term_structure_momentum,quality_flag,1,1,catalog,-0.005448950740060208,fold_2025,2025
term_structure_acceleration__csz,term_structure_acceleration,predictor,1,1,catalog,0.016432631316380467,fold_2025,2025
term_structure_acceleration__missing,term_structure_acceleration,quality_flag,1,1,catalog,-0.00605622016449072,fold_2025,2025
basis_surprise__csz,basis_surprise,predictor,1,1,catalog,-0.0010084349162543305,fold_2025,2025
basis_surprise__missing,basis_surprise,quality_flag,1,1,catalog,0.02410846744204211,fold_2025,2025
inventory_acceleration__csz,inventory_acceleration,predictor,1,1,catalog,0.011787520724802984,fold_2025,2025
inventory_acceleration__missing,inventory_acceleration,quality_flag,1,1,catalog,-0.0002656274564633543,fold_2025,2025
inventory_price_divergence__csz,inventory_price_divergence,predictor,1,1,catalog,0.01815060341134569,fold_2025,2025
inventory_price_divergence__missing,inventory_price_divergence,quality_flag,1,1,catalog,-0.0009697927436370233,fold_2025,2025
oi_surprise_60__csz,oi_surprise_60,conditional,0,-1,train_rank_ic,0.006142961343635576,fold_2025,2025
oi_surprise_60__missing,oi_surprise_60,quality_flag,0,1,train_rank_ic,0.005273483907806198,fold_2025,2025
volume_price_divergence_20__csz,volume_price_divergence_20,predictor,0,1,train_rank_ic,0.0021041740121473048,fold_2025,2025
volume_price_divergence_20__missing,volume_price_divergence_20,quality_flag,0,1,train_rank_ic,0.009048898261843415,fold_2025,2025
momentum_carry_interaction__csz,momentum_carry_interaction,predictor,0,1,train_rank_ic,0.0023718468097276547,fold_2025,2025
momentum_carry_interaction__missing,momentum_carry_interaction,quality_flag,0,-1,train_rank_ic,0.005912085304519254,fold_2025,2025
nonlinear_tightness__csz,nonlinear_tightness,predictor,1,1,catalog,0.025413549635556275,fold_2025,2025
nonlinear_tightness__missing,nonlinear_tightness,quality_flag,1,1,catalog,0.019526973380239183,fold_2025,2025
correlation_risk_20_120__csz,correlation_risk_20_120,risk,-1,-1,catalog,-0.009803707455663386,fold_2025,2025
correlation_risk_20_120__missing,correlation_risk_20_120,quality_flag,-1,-1,catalog,-0.003532535127763706,fold_2025,2025
