fold_id,outer_test_year,inner_validation_year,alpha,mean_rank_ic,rows
fold_2019,2019,2018,100.0,0.02094313437706333,6690
fold_2019,2019,2018,1.0,0.016833988962661084,6690
fold_2019,2019,2018,0.1,0.015982772227831864,6690
fold_2019,2019,2018,10.0,0.015527537755226585,6690
fold_2019,2019,2018,0.01,0.014965754633131196,6690
fold_2020,2020,2019,100.0,0.054853529739732926,6912
fold_2020,2020,2019,0.01,0.049150921298150504,6912
fold_2020,2020,2019,0.1,0.04911787137072681,6912
fold_2020,2020,2019,10.0,0.049117445844223756,6912
fold_2020,2020,2019,1.0,0.04852272133057247,6912
fold_2021,2021,2020,100.0,0.021196386487018326,7088
fold_2021,2021,2020,10.0,0.014352784402660797,7088
fold_2021,2021,2020,1.0,0.013004411042361028,7088
fold_2021,2021,2020,0.01,0.012283602519860607,7088
fold_2021,2021,2020,0.1,0.012268583487931084,7088
fold_2022,2022,2021,100.0,0.015639787451847,7107
fold_2022,2022,2021,10.0,0.015313200999856995,7107
fold_2022,2022,2021,1.0,0.013986367366259612,7107
fold_2022,2022,2021,0.1,0.01390242462975721,7107
fold_2022,2022,2021,0.01,0.013814187817171263,7107
fold_2023,2023,2022,1.0,0.029526555576883246,7072
fold_2023,2023,2022,0.01,0.029251228013189887,7072
fold_2023,2023,2022,0.1,0.029156961313844102,7072
fold_2023,2023,2022,10.0,0.02843512675532526,7072
fold_2023,2023,2022,100.0,0.024071203876530882,7072
fold_2024,2024,2023,0.1,0.03240015172345937,7079
fold_2024,2024,2023,0.01,0.03223611969611411,7079
fold_2024,2024,2023,1.0,0.031995464616117304,7079
fold_2024,2024,2023,10.0,0.03194328115981896,7079
fold_2024,2024,2023,100.0,0.030987946371199854,7079
