feature_name,coefficient_mean,coefficient_std,mean_abs_coefficient,positive_share,folds,sign_consistency,source_factor,usage_type,category,correlation_cluster,cluster_representative
inventory_price_divergence__missing,-0.04944292329776112,0.06732113303464107,0.04944292329776112,0.0,6,1.0,inventory_price_divergence,quality_flag,data_quality,23,inventory_change_5__missing
tsmom_60__csz,-0.035598833932089465,0.009701143047937394,0.03559883393208946,0.0,6,1.0,tsmom_60,predictor,trend_momentum,1,tsmom_60__csz
inventory_change_5__missing,0.03265447972527232,0.043232645583989815,0.03265447972527232,1.0,6,1.0,inventory_change_5,quality_flag,data_quality,23,inventory_change_5__missing
carry_change_20__missing,-0.03085147998239375,0.002113318422850273,0.030851479982393754,0.0,6,1.0,carry_change_20,quality_flag,data_quality,10,carry_change_20__missing
basis_momentum_20__csz,-0.026852776842478873,0.004202478718263273,0.026852776842478873,0.0,6,1.0,basis_momentum_20,predictor,basis_spot,14,basis_momentum_20__csz
vol_managed_momentum__csz,0.02349011327300746,0.002061097283559151,0.02349011327300746,1.0,6,1.0,vol_managed_momentum,predictor,trend_momentum,51,vol_managed_momentum__csz
volume_price_divergence_20__missing,0.02238157668858065,0.020972164030985868,0.02238157668858065,1.0,6,1.0,volume_price_divergence_20,quality_flag,data_quality,33,price_oi_interaction_20__missing
low_volatility_20__csz,-0.020861653995400437,0.013683855509357565,0.020861653995400433,0.0,6,1.0,low_volatility_20,risk,volatility_risk,38,realized_volatility_20__csz
inventory_acceleration__missing,0.01895708269672788,0.022364239335210853,0.01895708269672788,1.0,6,1.0,inventory_acceleration,quality_flag,data_quality,23,inventory_change_5__missing
momentum_quality_60__csz,0.01726427781156237,0.005837296003438117,0.01726427781156237,1.0,6,1.0,momentum_quality_60,predictor,trend_momentum,50,momentum_quality_60__csz
basis_fresh__csz,0.013732550505581495,0.0051606535380567245,0.013732550505581491,1.0,6,1.0,basis_fresh,predictor,basis_spot,11,basis_fresh__csz
fundamental_composite_news__missing,-0.013228357783812985,0.007301295553579672,0.013228357783812985,0.0,6,1.0,fundamental_composite_news,quality_flag,data_quality,12,basis_fresh__missing
carry_annualized__missing,0.013090096389120497,0.0010431289020854657,0.013090096389120497,1.0,6,1.0,carry_annualized,quality_flag,data_quality,8,carry_annualized__missing
realized_volatility_20__csz,-0.004881846362124019,0.014770023278630522,0.0128313575782837,0.5,6,0.5,realized_volatility_20,risk,volatility_risk,38,realized_volatility_20__csz
seasonality_3y__csz,-0.01258086832803256,0.005079026894756561,0.01258086832803256,0.0,6,1.0,seasonality_3y,predictor,value_reversion,40,seasonality_3y__csz
realized_skewness_60__csz,-0.012352849781934253,0.002162745928711613,0.012352849781934254,0.0,6,1.0,realized_skewness_60,risk,volatility_risk,39,realized_skewness_60__csz
price_oi_interaction_20__missing,-0.012129811075299854,0.018422732041221353,0.012129811075299854,0.0,6,1.0,price_oi_interaction_20,quality_flag,data_quality,33,price_oi_interaction_20__missing
volume_shock_20__missing,-0.01179509128932485,0.0016221478059388712,0.01179509128932485,0.0,6,1.0,volume_shock_20,quality_flag,data_quality,35,volume_shock_20__missing
