feature_name,fold_id,test_year,selected_alpha,standardized_coefficient
tsmom_60__csz,fold_2019,2019,100.0,-0.03692432471165818
tsmom_60__missing,fold_2019,2019,100.0,-0.001973757805148726
csmom_60__csz,fold_2019,2019,100.0,-0.005746938137862367
csmom_60__missing,fold_2019,2019,100.0,-0.001973757805148726
trend_efficiency_60__csz,fold_2019,2019,100.0,-0.005223575127368441
trend_efficiency_60__missing,fold_2019,2019,100.0,-0.0019737578051486136
multi_horizon_trend__csz,fold_2019,2019,100.0,-0.005372313670973505
multi_horizon_trend__missing,fold_2019,2019,100.0,0.004639943130153089
carry_annualized__csz,fold_2019,2019,100.0,-0.00029829383094424856
carry_annualized__missing,fold_2019,2019,100.0,0.013510036818356733
carry_change_20__csz,fold_2019,2019,100.0,-0.006454703243674635
carry_change_20__missing,fold_2019,2019,100.0,-0.031046445180497092
basis_fresh__csz,fold_2019,2019,100.0,0.0050126966292996815
basis_fresh__missing,fold_2019,2019,100.0,0.00617532889099551
basis_shock_20__csz,fold_2019,2019,100.0,0.003318782886753251
basis_shock_20__missing,fold_2019,2019,100.0,0.0075061193065657835
basis_momentum_20__csz,fold_2019,2019,100.0,-0.029287210158998222
basis_momentum_20__missing,fold_2019,2019,100.0,0.005379084471525643
curve_curvature__csz,fold_2019,2019,100.0,0.005869053207211334
curve_curvature__missing,fold_2019,2019,100.0,0.00018852015164244544
value_252__csz,fold_2019,2019,100.0,-0.0018377691719509892
value_252__missing,fold_2019,2019,100.0,-0.008956996465680676
short_reversal_5__csz,fold_2019,2019,100.0,0.0057321023327737575
inventory_scarcity__csz,fold_2019,2019,100.0,0.010279085964070588
inventory_scarcity__missing,fold_2019,2019,100.0,-0.00903443453887801
inventory_change_5__csz,fold_2019,2019,100.0,0.005092408444858344
inventory_change_5__missing,fold_2019,2019,100.0,0.00802047645656192
inventory_surprise__csz,fold_2019,2019,100.0,0.0038506848878569274
inventory_surprise__missing,fold_2019,2019,100.0,0.0014178352758999074
warehouse_tightness__csz,fold_2019,2019,100.0,0.0077974815284806084
warehouse_tightness__missing,fold_2019,2019,100.0,0.003982980175900435
tightness_composite__csz,fold_2019,2019,100.0,-0.0060060879072753
tightness_composite__missing,fold_2019,2019,100.0,0.002382658911302544
oi_growth_20__csz,fold_2019,2019,100.0,-0.0013000397502171473
oi_growth_20__missing,fold_2019,2019,100.0,0.006199675052961444
price_oi_interaction_20__csz,fold_2019,2019,100.0,-0.00242963060246571
price_oi_interaction_20__missing,fold_2019,2019,100.0,-0.0006737488700269818
volume_shock_20__csz,fold_2019,2019,100.0,-0.008549349544377268
volume_shock_20__missing,fold_2019,2019,100.0,-0.011605595070920044
amihud_20__csz,fold_2019,2019,100.0,0.009306341139045946
amihud_20__missing,fold_2019,2019,100.0,0.004777051411146058
turnover_oi__csz,fold_2019,2019,100.0,0.00014730051650752734
realized_volatility_20__csz,fold_2019,2019,100.0,0.011746134495250273
realized_volatility_20__missing,fold_2019,2019,100.0,0.0003148696247325364
low_volatility_20__csz,fold_2019,2019,100.0,-0.011571143257606449
low_volatility_20__missing,fold_2019,2019,100.0,0.0003148696247325364
realized_skewness_60__csz,fold_2019,2019,100.0,-0.013172142678663084
realized_skewness_60__missing,fold_2019,2019,100.0,-0.0019737578051486136
seasonality_3y__csz,fold_2019,2019,100.0,-0.014766833947338246
seasonality_3y__missing,fold_2019,2019,100.0,-0.005147597003951051
sector_relative_value_60__csz,fold_2019,2019,100.0,-0.009937496640578334
sector_relative_value_60__missing,fold_2019,2019,100.0,-0.001973757805148726
factor_momentum__tsz,fold_2019,2019,100.0,-0.0025993911106281372
factor_momentum__missing,fold_2019,2019,100.0,-0.0011359419539036862
fundamental_composite_news__csz,fold_2019,2019,100.0,-0.0038147819932410724
fundamental_composite_news__missing,fold_2019,2019,100.0,-0.012663151670880779
fundamental_underreaction__csz,fold_2019,2019,100.0,0.0008405986558173191
fundamental_underreaction__missing,fold_2019,2019,100.0,-0.010986067721535547
information_consistency__csz,fold_2019,2019,100.0,0.013740968061247149
information_consistency__missing,fold_2019,2019,100.0,0.002382658911302443
information_divergence__csz,fold_2019,2019,100.0,-0.002609906489199082
information_divergence__missing,fold_2019,2019,100.0,0.0032289271362169057
warehouse_surprise__csz,fold_2019,2019,100.0,0.010872319282997096
warehouse_surprise__missing,fold_2019,2019,100.0,0.005297916666047097
momentum_quality_60__csz,fold_2019,2019,100.0,0.01069903367275471
momentum_quality_60__missing,fold_2019,2019,100.0,-0.0019737578051486136
vol_managed_momentum__csz,fold_2019,2019,100.0,0.024995048622605605
vol_managed_momentum__missing,fold_2019,2019,100.0,-0.001973757805148726
idiosyncratic_volatility_60__csz,fold_2019,2019,100.0,-0.011487056751846879
idiosyncratic_volatility_60__missing,fold_2019,2019,100.0,0.005229405059625756
term_structure_slope__csz,fold_2019,2019,100.0,0.010676832451298537
term_structure_slope__missing,fold_2019,2019,100.0,0.00018852015164249816
term_structure_momentum__csz,fold_2019,2019,100.0,0.01144695622874711
term_structure_momentum__missing,fold_2019,2019,100.0,-0.0028084059084527934
term_structure_acceleration__csz,fold_2019,2019,100.0,0.0032390973960737144
term_structure_acceleration__missing,fold_2019,2019,100.0,0.0013274255762882607
basis_surprise__csz,fold_2019,2019,100.0,0.00448863557353069
basis_surprise__missing,fold_2019,2019,100.0,0.0012484241489449442
inventory_acceleration__csz,fold_2019,2019,100.0,-0.0012935139326976735
inventory_acceleration__missing,fold_2019,2019,100.0,0.00892459749895152
inventory_price_divergence__csz,fold_2019,2019,100.0,-0.006684071583317294
inventory_price_divergence__missing,fold_2019,2019,100.0,-0.003127737824498613
oi_surprise_60__csz,fold_2019,2019,100.0,-0.007218287990317723
oi_surprise_60__missing,fold_2019,2019,100.0,0.006508369327927546
volume_price_divergence_20__csz,fold_2019,2019,100.0,0.013428485098700416
volume_price_divergence_20__missing,fold_2019,2019,100.0,0.008722381175388282
momentum_carry_interaction__csz,fold_2019,2019,100.0,-0.0034950706046942013
