month,rebalance_days,gross_return_total,gross_return_hit_rate,net_0bps_return_total,net_0bps_return_hit_rate,net_3bps_return_total,net_3bps_return_hit_rate,net_5bps_return_total,net_5bps_return_hit_rate,net_10bps_return_total,net_10bps_return_hit_rate
2025-01,4,0.0020470217402748236,0.5,0.0020470217402748236,0.5,-0.00035453100425963946,0.5,-0.0019531662321293775,0.5,-0.005941365724557279,0.5
2025-02,4,0.027185104261867377,1.0,0.027185104261867377,1.0,0.02473849645244397,0.75,0.02310985444267044,0.75,0.019046742673949124,0.75
2025-03,4,-0.029024339949785927,0.5,-0.029024339949785927,0.5,-0.03136998539806679,0.25,-0.032931386377302085,0.25,-0.036826630648791436,0.25
2025-04,4,0.022140839326757478,0.75,0.022140839326757478,0.75,0.019703215050713263,0.75,0.018080556133863723,0.75,0.014032381358505264,0.75
2025-05,4,-0.004244160659028773,0.25,-0.004244160659028773,0.25,-0.0066344734607830524,0.25,-0.008225622835198454,0.25,-0.012195133722802676,0.25
2025-06,4,0.012914643630572709,0.5,0.012914643630572709,0.5,0.010493463841935835,0.5,0.008881757054539197,0.5,0.004860924610402773,0.5
2025-07,4,-0.012978610980707184,0.25,-0.012978610980707184,0.25,-0.015354060147404036,0.25,-0.016935309761234807,0.25,-0.020880103880073553,0.25
2025-08,5,0.006953166577138292,0.4,0.006953166577138292,0.4,0.003939896506347518,0.4,0.001935060456661697,0.4,-0.0030630203731041306,0.4
2025-09,4,-0.004518802115538234,0.5,-0.004518802115538234,0.5,-0.006908651235005281,0.5,-0.008499491776895463,0.5,-0.012468231594058965,0.5
2025-10,3,-0.010348664635916438,0.3333333333333333,-0.010348664635916438,0.3333333333333333,-0.012135201514932747,0.3333333333333333,-0.0133250308592755,0.3333333333333333,-0.01629542367429293,0.3333333333333333
2025-11,4,0.003005502274917582,0.5,0.003005502274917582,0.5,0.0006021989945259598,0.5,-0.0009976020726041313,0.5,-0.004988712019732056,0.5
2025-12,4,-0.025208036631769737,0.25,-0.025208036631769737,0.25,-0.027560479740702748,0.25,-0.02912640800664068,0.25,-0.03303295480052737,0.25
