fold_id,outer_test_year,n_selected_features,inner_validation_year,alpha,mean_rank_ic,rows
fold_2019,2019,15,2018,10.0,0.06522752799037038,6690
fold_2019,2019,15,2018,1.0,0.06505497883124192,6690
fold_2019,2019,15,2018,0.1,0.06496032592122454,6690
fold_2019,2019,15,2018,0.01,0.06494485244438049,6690
fold_2019,2019,15,2018,100.0,0.06423471613592975,6690
fold_2020,2020,12,2019,100.0,0.011142649094221708,6912
fold_2020,2020,12,2019,10.0,0.007870313001202693,6912
fold_2020,2020,12,2019,1.0,0.007780044065284698,6912
fold_2020,2020,12,2019,0.01,0.007717212505093637,6912
fold_2020,2020,12,2019,0.1,0.007677886429835949,6912
fold_2021,2021,13,2020,100.0,0.0937383329729726,7088
fold_2021,2021,13,2020,1.0,0.09347801636300439,7088
fold_2021,2021,13,2020,0.01,0.09332594866471797,7088
fold_2021,2021,13,2020,0.1,0.09329778797985012,7088
fold_2021,2021,13,2020,10.0,0.09314836220266019,7088
fold_2022,2022,12,2021,100.0,0.015453447878499353,7107
fold_2022,2022,12,2021,10.0,0.015214749521083471,7107
fold_2022,2022,12,2021,1.0,0.01511712581354157,7107
fold_2022,2022,12,2021,0.01,0.015083332991700142,7107
fold_2022,2022,12,2021,0.1,0.015060804443805857,7107
fold_2023,2023,13,2022,10.0,0.03218005546455464,7072
fold_2023,2023,13,2022,1.0,0.032000744428482365,7072
fold_2023,2023,13,2022,100.0,0.03184953971833549,7072
fold_2023,2023,13,2022,0.1,0.031844261707568364,7072
fold_2023,2023,13,2022,0.01,0.03180655502783004,7072
fold_2024,2024,11,2023,100.0,0.017891801377511857,7079
fold_2024,2024,11,2023,10.0,0.015721237208980915,7079
fold_2024,2024,11,2023,1.0,0.01514338748085564,7079
fold_2024,2024,11,2023,0.1,0.015132075476934147,7079
fold_2024,2024,11,2023,0.01,0.015111336803078074,7079
