feature_name,fold_id,test_year,selected_alpha,standardized_coefficient,selected
warehouse_tightness__csz,fold_2019,2019,10.0,0.003990801312966294,True
information_divergence__csz,fold_2019,2019,10.0,0.013197902737626397,True
basis_fresh__csz,fold_2019,2019,10.0,0.001841821014515069,True
term_structure_slope__csz,fold_2019,2019,10.0,0.006796615139648439,True
value_252__csz,fold_2019,2019,10.0,0.017509876148959016,True
inventory_surprise__csz,fold_2019,2019,10.0,0.003652051577559734,True
volume_price_divergence_20__csz,fold_2019,2019,10.0,0.017863574207139826,True
warehouse_surprise__csz,fold_2019,2019,10.0,0.010850037097610931,True
carry_annualized__csz,fold_2019,2019,10.0,-0.00879109822943399,True
inventory_scarcity__csz,fold_2019,2019,10.0,0.007857464895676554,True
vol_managed_momentum__csz,fold_2019,2019,10.0,0.015673812508602995,True
term_structure_acceleration__csz,fold_2019,2019,10.0,0.004567032348713086,True
term_structure_momentum__csz,fold_2019,2019,10.0,0.008157099705173407,True
inventory_price_divergence__csz,fold_2019,2019,10.0,-0.002365975800738249,True
momentum_carry_interaction__csz,fold_2019,2019,10.0,-0.006320695352965954,True
information_divergence__csz,fold_2020,2020,100.0,0.011346762465154868,True
warehouse_tightness__csz,fold_2020,2020,100.0,0.0046886179604400165,True
basis_fresh__csz,fold_2020,2020,100.0,0.002888529079155462,True
term_structure_acceleration__csz,fold_2020,2020,100.0,0.009107856972347483,True
term_structure_slope__csz,fold_2020,2020,100.0,0.00038148813761293556,True
value_252__csz,fold_2020,2020,100.0,0.011757519088932522,True
inventory_surprise__csz,fold_2020,2020,100.0,0.0037541734837421045,True
inventory_scarcity__csz,fold_2020,2020,100.0,0.004819169573941054,True
term_structure_momentum__csz,fold_2020,2020,100.0,0.004220785340053843,True
volume_price_divergence_20__csz,fold_2020,2020,100.0,0.009573022650395507,True
vol_managed_momentum__csz,fold_2020,2020,100.0,0.00934639047866128,True
basis_shock_20__csz,fold_2020,2020,100.0,0.00500364588429794,True
information_divergence__csz,fold_2021,2021,100.0,0.020818146419657256,True
nonlinear_tightness__csz,fold_2021,2021,100.0,-0.012948819385836977,True
term_structure_slope__csz,fold_2021,2021,100.0,0.011015760870513187,True
basis_fresh__csz,fold_2021,2021,100.0,0.00737675467531299,True
term_structure_acceleration__csz,fold_2021,2021,100.0,0.007387449925564216,True
value_252__csz,fold_2021,2021,100.0,0.01215429774117077,True
vol_managed_momentum__csz,fold_2021,2021,100.0,0.015326329271779411,True
inventory_surprise__csz,fold_2021,2021,100.0,0.0018825181533576505,True
inventory_price_divergence__csz,fold_2021,2021,100.0,0.0022428865758233646,True
term_structure_momentum__csz,fold_2021,2021,100.0,0.0026731769810553157,True
volume_price_divergence_20__csz,fold_2021,2021,100.0,0.010203593159539321,True
inventory_scarcity__csz,fold_2021,2021,100.0,0.008801308205679646,True
warehouse_surprise__csz,fold_2021,2021,100.0,0.004808892700525,True
information_divergence__csz,fold_2022,2022,100.0,0.012120620102614095,True
warehouse_tightness__csz,fold_2022,2022,100.0,0.005279348976521558,True
basis_fresh__csz,fold_2022,2022,100.0,0.005451994416672391,True
term_structure_slope__csz,fold_2022,2022,100.0,0.00328502475415733,True
value_252__csz,fold_2022,2022,100.0,0.014664909381388569,True
term_structure_acceleration__csz,fold_2022,2022,100.0,0.007478307368924191,True
vol_managed_momentum__csz,fold_2022,2022,100.0,0.012709582186004775,True
inventory_price_divergence__csz,fold_2022,2022,100.0,0.0021656107591218735,True
term_structure_momentum__csz,fold_2022,2022,100.0,0.004695029566137474,True
inventory_scarcity__csz,fold_2022,2022,100.0,0.006849004343354355,True
inventory_surprise__csz,fold_2022,2022,100.0,0.0011000235360510676,True
volume_price_divergence_20__csz,fold_2022,2022,100.0,0.00868369350865879,True
information_divergence__csz,fold_2023,2023,10.0,0.02398262979579746,True
tightness_composite__csz,fold_2023,2023,10.0,-0.014072011529097702,True
basis_fresh__csz,fold_2023,2023,10.0,0.008255322873508488,True
term_structure_slope__csz,fold_2023,2023,10.0,0.011812971500246938,True
value_252__csz,fold_2023,2023,10.0,0.007822325311822554,True
term_structure_acceleration__csz,fold_2023,2023,10.0,0.008276075943275903,True
inventory_price_divergence__csz,fold_2023,2023,10.0,0.0012926727199245311,True
vol_managed_momentum__csz,fold_2023,2023,10.0,0.014596908463233603,True
term_structure_momentum__csz,fold_2023,2023,10.0,0.001588524868976094,True
inventory_acceleration__csz,fold_2023,2023,10.0,0.002990175316195744,True
short_reversal_5__csz,fold_2023,2023,10.0,0.0024049054358114223,True
inventory_change_5__csz,fold_2023,2023,10.0,0.001517159886921853,True
fundamental_underreaction__csz,fold_2023,2023,10.0,0.0035736280385540884,True
information_divergence__csz,fold_2024,2024,100.0,0.013723144593265922,True
nonlinear_tightness__csz,fold_2024,2024,100.0,-0.006523719188031235,True
basis_fresh__csz,fold_2024,2024,100.0,0.006628967143259812,True
term_structure_slope__csz,fold_2024,2024,100.0,0.008293457466455389,True
value_252__csz,fold_2024,2024,100.0,0.005747389561872176,True
term_structure_acceleration__csz,fold_2024,2024,100.0,0.005882172791054968,True
inventory_price_divergence__csz,fold_2024,2024,100.0,0.002385568054029425,True
term_structure_momentum__csz,fold_2024,2024,100.0,0.0035769219223482367,True
inventory_change_5__csz,fold_2024,2024,100.0,0.0018188342438579302,True
warehouse_surprise__csz,fold_2024,2024,100.0,0.005484973591969665,True
inventory_acceleration__csz,fold_2024,2024,100.0,0.0009560216227197988,True
