feature_name,source_factor,usage_type,catalog_direction,resolved_direction,direction_source,train_rank_ic,selected,selection_reason,max_abs_corr_vs_selected,min_train_rank_ic,max_pairwise_corr,fold_id,test_year,prior_universe_size,selected_universe_size
tsmom_60__csz,tsmom_60,predictor,1,1,catalog,-0.03275410366387577,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2019,2019,36,15
csmom_60__csz,csmom_60,predictor,1,1,catalog,-0.035547644490107916,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2019,2019,36,15
trend_efficiency_60__csz,trend_efficiency_60,predictor,0,-1,train_rank_ic,0.007788560971946111,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2019,2019,36,15
multi_horizon_trend__csz,multi_horizon_trend,predictor,1,1,catalog,-0.0051117103303769,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2019,2019,36,15
carry_annualized__csz,carry_annualized,predictor,1,1,catalog,0.016935884506385192,True,selected,0.682279350454976,0.01,0.7,fold_2019,2019,36,15
carry_change_20__csz,carry_change_20,predictor,1,1,catalog,-0.0015373660983564106,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2019,2019,36,15
basis_fresh__csz,basis_fresh,predictor,1,1,catalog,0.027464216358452097,True,selected,0.44562998834697015,0.01,0.7,fold_2019,2019,36,15
basis_shock_20__csz,basis_shock_20,predictor,1,1,catalog,0.007858335782982466,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2019,2019,36,15
basis_momentum_20__csz,basis_momentum_20,predictor,1,1,catalog,-0.029551318673531644,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2019,2019,36,15
curve_curvature__csz,curve_curvature,predictor,0,-1,train_rank_ic,0.004871448586534118,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2019,2019,36,15
value_252__csz,value_252,predictor,1,1,catalog,0.024827936499742742,True,selected,0.4098504651256079,0.01,0.7,fold_2019,2019,36,15
short_reversal_5__csz,short_reversal_5,predictor,1,1,catalog,0.0018059094704913057,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2019,2019,36,15
inventory_scarcity__csz,inventory_scarcity,predictor,1,1,catalog,0.016605422932894163,True,selected,0.38421785293275174,0.01,0.7,fold_2019,2019,36,15
inventory_change_5__csz,inventory_change_5,predictor,1,1,catalog,0.011742995273718356,False,dropped_high_corr,0.7068051743695304,0.01,0.7,fold_2019,2019,36,15
inventory_surprise__csz,inventory_surprise,predictor,1,1,catalog,0.02121517948855347,True,selected,0.19658532125501207,0.01,0.7,fold_2019,2019,36,15
warehouse_tightness__csz,warehouse_tightness,predictor,1,1,catalog,0.04504157669267646,True,selected,0.0,0.01,0.7,fold_2019,2019,36,15
tightness_composite__csz,tightness_composite,predictor,1,1,catalog,0.03773555281701468,False,dropped_high_corr,0.7557149741395341,0.01,0.7,fold_2019,2019,36,15
price_oi_interaction_20__csz,price_oi_interaction_20,predictor,1,1,catalog,-0.017471433794478134,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2019,2019,36,15
seasonality_3y__csz,seasonality_3y,predictor,1,1,catalog,-0.05262012901688419,False,dropped_weak_train_rank_ic,,0.01,0.7,fold_2019,2019,36,15
