feature_name,source_factor,usage_type,catalog_direction,category
tsmom_60__csz,tsmom_60,predictor,1,trend_momentum
csmom_60__csz,csmom_60,predictor,1,trend_momentum
trend_efficiency_60__csz,trend_efficiency_60,predictor,0,trend_momentum
multi_horizon_trend__csz,multi_horizon_trend,predictor,1,trend_momentum
carry_annualized__csz,carry_annualized,predictor,1,term_structure
carry_change_20__csz,carry_change_20,predictor,1,term_structure
basis_fresh__csz,basis_fresh,predictor,1,basis_spot
basis_shock_20__csz,basis_shock_20,predictor,1,basis_spot
basis_momentum_20__csz,basis_momentum_20,predictor,1,basis_spot
curve_curvature__csz,curve_curvature,predictor,0,term_structure
value_252__csz,value_252,predictor,1,value_reversion
short_reversal_5__csz,short_reversal_5,predictor,1,value_reversion
inventory_scarcity__csz,inventory_scarcity,predictor,1,inventory_fundamental
inventory_change_5__csz,inventory_change_5,predictor,1,inventory_fundamental
inventory_surprise__csz,inventory_surprise,predictor,1,information_news
warehouse_tightness__csz,warehouse_tightness,predictor,1,inventory_fundamental
tightness_composite__csz,tightness_composite,predictor,1,inventory_fundamental
price_oi_interaction_20__csz,price_oi_interaction_20,predictor,1,trading_liquidity
seasonality_3y__csz,seasonality_3y,predictor,1,value_reversion
sector_relative_value_60__csz,sector_relative_value_60,predictor,1,industry_chain
fundamental_composite_news__csz,fundamental_composite_news,predictor,1,information_news
fundamental_underreaction__csz,fundamental_underreaction,predictor,1,information_news
information_consistency__csz,information_consistency,predictor,1,information_news
information_divergence__csz,information_divergence,predictor,0,information_news
warehouse_surprise__csz,warehouse_surprise,predictor,1,information_news
momentum_quality_60__csz,momentum_quality_60,predictor,1,trend_momentum
vol_managed_momentum__csz,vol_managed_momentum,predictor,1,trend_momentum
term_structure_slope__csz,term_structure_slope,predictor,1,term_structure
term_structure_momentum__csz,term_structure_momentum,predictor,1,term_structure
term_structure_acceleration__csz,term_structure_acceleration,predictor,1,term_structure
basis_surprise__csz,basis_surprise,predictor,1,basis_spot
inventory_acceleration__csz,inventory_acceleration,predictor,1,inventory_fundamental
inventory_price_divergence__csz,inventory_price_divergence,predictor,1,information_news
volume_price_divergence_20__csz,volume_price_divergence_20,predictor,0,trading_liquidity
momentum_carry_interaction__csz,momentum_carry_interaction,predictor,0,factor_interaction
nonlinear_tightness__csz,nonlinear_tightness,predictor,1,factor_interaction
