rank,feature_name,source_factor,source_factor_id,usage_type,category,catalog_direction,direction_source_modes,applied_direction_modes,pearson_ic_mean,rank_ic_mean,rank_ic_hit_rate,rank_icir,ic_days,prediction_rows,prediction_days,strategy_days,target_r2,target_mae,strategy_coverage,gross_annual_return,gross_annual_volatility,gross_sharpe,gross_max_drawdown,gross_total_return,gross_hit_rate,net_0bps_annual_return,net_0bps_annual_volatility,net_0bps_sharpe,net_0bps_max_drawdown,net_0bps_total_return,net_0bps_hit_rate,net_3bps_annual_return,net_3bps_annual_volatility,net_3bps_sharpe,net_3bps_max_drawdown,net_3bps_total_return,net_3bps_hit_rate,net_5bps_annual_return,net_5bps_annual_volatility,net_5bps_sharpe,net_5bps_max_drawdown,net_5bps_total_return,net_5bps_hit_rate,net_10bps_annual_return,net_10bps_annual_volatility,net_10bps_sharpe,net_10bps_max_drawdown,net_10bps_total_return,net_10bps_hit_rate,years_evaluated,years_rank_ic_positive,years_gross_sharpe_positive
1,volume_shock_20__missing,volume_shock_20,21,quality_flag,data_quality,0,train_rank_ic,-1,0.10671709579299977,0.14159503557397912,0.8,0.6876951596562525,10,43234,1450,293,-6.018023358556057e-05,0.5171993826579536,0.20206896551724138,-0.003495981378446869,0.05550619894249564,-0.06298362065953575,-0.13734840770954027,-0.028825287983319292,0.49829351535836175,-0.003495981378446869,0.05550619894249564,-0.06298362065953575,-0.13734840770954027,-0.028825287983319292,0.49829351535836175,-0.03373598137844686,0.05550619894249564,-0.6077876349161885,-0.20733648942041472,-0.1854541657050065,0.45733788395904434,-0.053895981378446874,0.05550619894249564,-0.9709903110872906,-0.2919747619511449,-0.2756160548513158,0.4402730375426621,-0.10429598137844688,0.05550619894249564,-1.8789970015150455,-0.46813841752258123,-0.4598520616533208,0.3822525597269625,6,1,1
2,correlation_risk_20_120__missing,correlation_risk_20_120,57,quality_flag,data_quality,-1,catalog,-1,0.050483664497935045,0.059454013044262594,0.6333333333333333,0.3765093544971773,120,43234,1450,293,-0.004988393655422918,0.5182025179490856,0.20206896551724138,0.00032628876902996687,0.05530029084459143,0.0059003083717394066,-0.1179029018336728,-0.0069335025420238505,0.4948805460750853,0.00032628876902996687,0.05530029084459143,0.0059003083717394066,-0.1179029018336728,-0.0069335025420238505,0.4948805460750853,-0.029913711230970027,0.05530029084459143,-0.5409322586572923,-0.1894577401660439,-0.16708185446173485,0.45733788395904434,-0.05007371123097004,0.05530029084459143,-0.905487303343314,-0.2759985653920376,-0.259270733145201,0.4402730375426621,-0.10047371123097004,0.05530029084459143,-1.8168749150583672,-0.45612505549872595,-0.4476515325239713,0.3890784982935154,6,2,1
3,amihud_20__missing,amihud_20,22,quality_flag,data_quality,-1,catalog,-1,0.025985137374990846,0.05143436187401056,0.5897435897435898,0.23788174135462345,39,43234,1450,293,-0.0017521706470871035,0.5174211110868882,0.20206896551724138,-0.002341767464158984,0.05555705713995043,-0.042150675084534794,-0.1336689982919872,-0.022302103935447626,0.5017064846416383,-0.002341767464158984,0.05555705713995043,-0.042150675084534794,-0.1336689982919872,-0.022302103935447626,0.5017064846416383,-0.03258176746415897,0.05555705713995043,-0.5864559633186512,-0.20200912923351566,-0.17997973804420153,0.46075085324232085,-0.05274176746415899,0.05555705713995045,-0.9493261554747289,-0.2872143342677044,-0.2707456389387014,0.44368600682593856,-0.103141767464159,0.05555705713995045,-1.8565016358649233,-0.46455884424140226,-0.45621671894068605,0.3856655290102389,6,2,1
4,basis_surprise__missing,basis_surprise,47,quality_flag,data_quality,1,catalog,1,0.034372038551319206,0.032079259236530676,0.5219917012448133,0.12123871247820116,1205,43234,1450,293,-0.20048443732935106,0.5397888072795592,0.20206896551724138,0.03319908182547745,0.08059233666110517,0.41193844478143454,-0.10062180491996164,0.19025177031553664,0.515358361774744,0.03319908182547745,0.08059233666110517,0.41193844478143454,-0.10062180491996164,0.19025177031553664,0.515358361774744,0.002959081825477454,0.08059233666110517,0.03671666498417265,-0.13449300466589198,-0.0015933664653217106,0.4948805460750853,-0.017200918174522555,0.08059233666110517,-0.21343118821400212,-0.1633797140045744,-0.11203792110561461,0.48464163822525597,-0.06760091817452256,0.08059233666110517,-0.8388008212094387,-0.36343821349105787,-0.3377490069138698,0.44368600682593856,6,5,4
5,basis_fresh__missing,basis_fresh,7,quality_flag,data_quality,1,catalog,1,0.0343448666640012,0.03202906045238695,0.5215231788079471,0.12052501533437862,1208,43234,1450,293,-0.19812702114583836,0.5393644924443322,0.20206896551724138,0.03434014644493365,0.08144874536820777,0.42161664111204084,-0.09422869988237714,0.19770212309886048,0.515358361774744,0.03434014644493365,0.08144874536820777,0.42161664111204084,-0.09422869988237714,0.19770212309886048,0.515358361774744,0.0041001464449336575,0.08144874536820777,0.05034020384719253,-0.12833716355284952,0.004659669828309232,0.4948805460750853,-0.016059853555066353,0.08144874536820777,-0.19717742099603985,-0.15813797226662096,-0.10647450366454381,0.48464163822525597,-0.06645985355506635,0.08144874536820777,-0.8159714831041204,-0.35944615033382044,-0.33359583930881764,0.44368600682593856,6,5,4
6,basis_momentum_20__missing,basis_momentum_20,9,quality_flag,data_quality,1,catalog,1,0.03434762309509402,0.03176742720540778,0.5200333889816361,0.12006026803124893,1198,43234,1450,293,-0.1980083950467877,0.539491779931863,0.20206896551724138,0.03445645849863097,0.08151523085002199,0.422699637102502,-0.09364401390559562,0.1984752538390886,0.515358361774744,0.03445645849863097,0.08151523085002199,0.422699637102502,-0.09364401390559562,0.1984752538390886,0.515358361774744,0.0042164584986309804,0.08151523085002199,0.051726020458541626,-0.12777417275803649,0.005308560801266404,0.4948805460750853,-0.015943541501369028,0.08151523085002199,-0.19558972397076552,-0.15759402158527314,-0.10589717176629687,0.48464163822525597,-0.06634354150136902,0.08151523085002198,-0.8138790850440332,-0.3590318749513983,-0.33316484535153845,0.4402730375426621,6,5,4
7,basis_shock_20__missing,basis_shock_20,8,quality_flag,data_quality,1,catalog,1,0.033517310080308345,0.03114220848322746,0.5191986644407346,0.11717640420514291,1198,43234,1450,293,-0.1977410032095448,0.5393340703012051,0.20206896551724138,0.03564642390549848,0.0813036209243694,0.4384358716158245,-0.09465012680267293,0.20690897254488028,0.515358361774744,0.03564642390549848,0.0813036209243694,0.4384358716158245,-0.09465012680267293,0.20690897254488028,0.515358361774744,0.005406423905498478,0.0813036209243694,0.06649671741591516,-0.12874296289973453,0.012387277039464406,0.4948805460750853,-0.01475357609450153,0.0813036209243694,-0.18146271871735783,-0.15212401016545019,-0.09959892891743816,0.48464163822525597,-0.06515357609450154,0.0813036209243694,-0.8013613090505401,-0.3545121634998646,-0.3284627355788857,0.4402730375426621,6,5,4
8,fundamental_composite_news__missing,fundamental_composite_news,33,quality_flag,data_quality,1,catalog,1,0.03258932252581811,0.029782586247727533,0.5215654952076677,0.11637651694696517,1252,43234,1450,293,-0.22597101616340654,0.5446950393051642,0.20206896551724138,0.029665611649109844,0.07869830084930515,0.3769536486679022,-0.09555344222042239,0.16708170907956266,0.515358361774744,0.029665611649109844,0.07869830084930515,0.3769536486679022,-0.09555344222042239,0.16708170907956266,0.515358361774744,-0.000574388350890158,0.07869830084930515,-0.007298611846652461,-0.12961228011418224,-0.02103990673006828,0.49146757679180886,-0.02073438835089017,0.07869830084930515,-0.2634667855230224,-0.18684611584427357,-0.12933981915524628,0.48464163822525597,-0.07113438835089017,0.07869830084930515,-0.9038872197139468,-0.38210625727540193,-0.35066516402466874,0.45051194539249145,6,5,4
9,fundamental_underreaction__missing,fundamental_underreaction,34,quality_flag,data_quality,1,catalog,1,0.03258932252581811,0.029782586247727533,0.5215654952076677,0.11637651694696517,1252,43234,1450,293,-0.22597101616340654,0.5446950393051642,0.20206896551724138,0.029665611649109844,0.07869830084930515,0.3769536486679022,-0.09555344222042239,0.16708170907956266,0.515358361774744,0.029665611649109844,0.07869830084930515,0.3769536486679022,-0.09555344222042239,0.16708170907956266,0.515358361774744,-0.000574388350890158,0.07869830084930515,-0.007298611846652461,-0.12961228011418224,-0.02103990673006828,0.49146757679180886,-0.02073438835089017,0.07869830084930515,-0.2634667855230224,-0.18684611584427357,-0.12933981915524628,0.48464163822525597,-0.07113438835089017,0.07869830084930515,-0.9038872197139468,-0.38210625727540193,-0.35066516402466874,0.45051194539249145,6,5,4
10,carry_annualized__csz,carry_annualized,5,predictor,term_structure,1,catalog,1,0.02866451223971851,0.029099818573077342,0.546896551724138,0.11112202861054592,1450,43234,1450,293,-0.9417551960028843,0.6644880366873913,0.20206896551724138,0.0255275405806335,0.09155081128078907,0.2788346735927853,-0.20926372174557184,0.13201210754350923,0.5119453924914675,0.0255275405806335,0.09155081128078907,0.2788346735927853,-0.20926372174557184,0.13201210754350923,0.5119453924914675,-0.004712459419366482,0.09155081128078907,-0.051473704639418534,-0.28562183746298864,-0.05047779738374247,0.5017064846416383,-0.0248724594193665,0.09155081128078907,-0.2716792901275547,-0.35033913518545756,-0.1555336239490257,0.49146757679180886,-0.07527245941936649,0.09155081128078907,-0.8221932538478945,-0.48796116811974244,-0.3702238435182802,0.447098976109215,6,5,4
