rank,feature_name,source_factor,usage_type,category,rank_ic_mean,rank_ic_hit_rate,rank_icir,gross_annual_return,gross_sharpe,gross_max_drawdown,net_0bps_sharpe,net_3bps_sharpe,net_5bps_sharpe,net_10bps_sharpe,years_evaluated,years_rank_ic_positive,years_gross_sharpe_positive
12,warehouse_tightness__csz,warehouse_tightness,predictor,inventory_fundamental,0.0230017102255047,0.5402379286214136,0.1126787382530256,0.0538490231751872,0.8313674921320291,-0.0565670549670012,0.8313674921320291,0.3644963869629953,0.0532489835169726,-0.7248695250980836,6,5,5
16,nonlinear_tightness__csz,nonlinear_tightness,predictor,factor_interaction,0.0197089184244921,0.5240753663642708,0.0921721054756605,0.0394013792916686,0.5388764208466398,-0.1107782101880107,0.5388764208466398,0.1252964076756779,-0.1504236011049634,-0.8397236230565664,6,4,4
17,tightness_composite__csz,tightness_composite,predictor,inventory_fundamental,0.0193730737942364,0.5247732030704815,0.0906375430326178,0.038287505792531,0.5234735939161057,-0.1107782101880107,0.5234735939161057,0.1100269315557951,-0.1656041766844122,-0.8546819472849301,6,4,4
11,basis_fresh__csz,basis_fresh,predictor,basis_spot,0.028522075259036,0.5571192052980133,0.1292591295774111,0.0369782738854542,0.4634808159775814,-0.1487320217464038,0.4634808159775814,0.0844566376566117,-0.1682261478907015,-0.7999331117589846,6,5,4
7,basis_shock_20__missing,basis_shock_20,quality_flag,data_quality,0.0311422084832274,0.5191986644407346,0.1171764042051429,0.0356464239054984,0.4384358716158245,-0.0946501268026729,0.4384358716158245,0.0664967174159151,-0.1814627187173578,-0.8013613090505401,6,5,4
19,short_reversal_5__csz,short_reversal_5,predictor,value_reversion,0.0181756848077032,0.5262068965517241,0.0661944500436517,0.0468884044370519,0.4377858508451002,-0.2026362964795087,0.4377858508451002,0.155442182117178,-0.0327869303681034,-0.5033597115813068,6,5,4
6,basis_momentum_20__missing,basis_momentum_20,quality_flag,data_quality,0.0317674272054077,0.5200333889816361,0.1200602680312489,0.0344564584986309,0.422699637102502,-0.0936440139055956,0.422699637102502,0.0517260204585416,-0.1955897239707655,-0.8138790850440332,6,5,4
5,basis_fresh__missing,basis_fresh,quality_flag,data_quality,0.0320290604523869,0.5215231788079471,0.1205250153343786,0.0343401464449336,0.4216166411120408,-0.0942286998823771,0.4216166411120408,0.0503402038471925,-0.1971774209960398,-0.8159714831041204,6,5,4
4,basis_surprise__missing,basis_surprise,quality_flag,data_quality,0.0320792592365306,0.5219917012448133,0.1212387124782011,0.0331990818254774,0.4119384447814345,-0.1006218049199616,0.4119384447814345,0.0367166649841726,-0.2134311882140021,-0.8388008212094387,6,5,4
8,fundamental_composite_news__missing,fundamental_composite_news,quality_flag,data_quality,0.0297825862477275,0.5215654952076677,0.1163765169469651,0.0296656116491098,0.3769536486679022,-0.0955534422204223,0.3769536486679022,-0.0072986118466524,-0.2634667855230224,-0.9038872197139468,6,5,4
9,fundamental_underreaction__missing,fundamental_underreaction,quality_flag,data_quality,0.0297825862477275,0.5215654952076677,0.1163765169469651,0.0296656116491098,0.3769536486679022,-0.0955534422204223,0.3769536486679022,-0.0072986118466524,-0.2634667855230224,-0.9038872197139468,6,5,4
29,inventory_change_5__csz,inventory_change_5,predictor,inventory_fundamental,0.0130361802518817,0.5277008310249307,0.0707663433598391,0.0219550648464476,0.3766635859675507,-0.1009578010187741,0.3766635859675507,-0.1421372884239317,-0.4880045380182536,-1.3526726620040577,6,4,4
48,oi_surprise_60__csz,oi_surprise_60,conditional,trading_liquidity,-0.000609826246612,0.5089655172413793,-0.0028267724145374,0.0269673569283599,0.3699353232722171,-0.1047705731704515,0.3699353232722171,-0.044893768265015,-0.3214464959565035,-1.012828315185224,6,2,4
18,information_consistency__csz,information_consistency,predictor,information_news,0.0189604718628572,0.5366364270760642,0.0883576542068129,0.0235359270024185,0.3215787762862099,-0.1028710018875795,0.3215787762862099,-0.0915998588232414,-0.3670522822295425,-1.0556833407452948,6,4,5
36,sector_relative_value_60__csz,sector_relative_value_60,predictor,industry_chain,0.0108895297431895,0.5241379310344828,0.0436599776701658,0.0297845175665317,0.3172029927830505,-0.1202537166612114,0.3172029927830505,-0.0048508555068418,-0.2195534210334369,-0.756309834849924,6,5,4
14,inventory_price_divergence__csz,inventory_price_divergence,predictor,information_news,0.0214340697633608,0.5457063711911357,0.1155839739554501,0.0182645740463127,0.3133468029070894,-0.1047814897518294,0.3133468029070894,-0.2054502572314871,-0.5513149639905386,-1.4159767308881663,6,5,3
13,information_divergence__csz,information_divergence,predictor,information_news,0.0227354211913412,0.5387299371946964,0.105967128786562,0.0213342564841519,0.284325768145846,-0.1249419770829383,0.284325768145846,-0.1186885686845645,-0.3873647932381717,-1.0590553546221897,6,5,3
10,carry_annualized__csz,carry_annualized,predictor,term_structure,0.0290998185730773,0.546896551724138,0.1111220286105459,0.0255275405806335,0.2788346735927853,-0.2092637217455718,0.2788346735927853,-0.0514737046394185,-0.2716792901275547,-0.8221932538478945,6,5,4
34,amihud_20__csz,amihud_20,risk,trading_liquidity,0.0113637662140673,0.5275862068965518,0.0532340223307111,0.0215589250548662,0.2464468075870341,-0.2440331841593762,0.2464468075870341,-0.0992360797770422,-0.3296913380197601,-0.9058294836265542,6,4,3
32,realized_volatility_20__csz,realized_volatility_20,risk,volatility_risk,0.0126719113771528,0.5124137931034483,0.0401876945110926,0.027786946490121,0.2148691549355148,-0.1936237217367942,0.2148691549355148,-0.0189688181415214,-0.1748608001928789,-0.5645907553212726,6,5,5
20,inventory_acceleration__csz,inventory_acceleration,predictor,inventory_fundamental,0.0177691491505796,0.5440666204024983,0.0985105262483059,0.0128998969108495,0.1953405742586255,-0.1501504216393804,0.1953405742586255,-0.2625777336475896,-0.5678566055850667,-1.3310537854287587,6,5,4
22,idiosyncratic_volatility_60__csz,idiosyncratic_volatility_60,risk,volatility_risk,0.0150573006510984,0.5337931034482759,0.0571747559265923,0.0192340560430854,0.1926056644544504,-0.1947844089871762,0.1926056644544504,-0.1102111350835972,-0.3120890014422957,-0.8167836673390415,6,4,3
55,volume_shock_20__csz,volume_shock_20,conditional,trading_liquidity,-0.006353295397265,0.4875862068965517,-0.0285169472001478,0.0144407013157219,0.1907567546303384,-0.1973652002915358,0.1907567546303384,-0.2087033639541483,-0.4750101096771397,-1.1407769739846176,6,2,3
50,curve_curvature__csz,curve_curvature,predictor,term_structure,-0.0027006338870919,0.4972413793103448,-0.0131253360261393,0.0123417836567336,0.1667536915774697,-0.1928166646402684,0.1667536915774697,-0.2418283880923055,-0.5142164412054893,-1.1951865739884475,6,3,3
24,realized_skewness_60__csz,realized_skewness_60,risk,volatility_risk,0.0143908802087129,0.5413793103448276,0.0638581585077611,0.0119039441861169,0.1494759992456248,-0.1485192260492916,0.1494759992456248,-0.2302430372783675,-0.4833890616276962,-1.1162541225010172,6,4,2
25,information_consistency__missing,information_consistency,quality_flag,data_quality,0.0135887152716145,0.520586182833217,0.0603950854550321,0.0106396769653889,0.1415721110662278,-0.1142317127569233,0.1415721110662278,-0.2608029471774906,-0.5290529860066362,-1.1996780830794995,6,4,4
26,information_divergence__missing,information_divergence,quality_flag,data_quality,0.0135887152716145,0.520586182833217,0.0603950854550321,0.0106396769653889,0.1415721110662278,-0.1142317127569233,0.1415721110662278,-0.2608029471774906,-0.5290529860066362,-1.1996780830794995,6,4,4
27,nonlinear_tightness__missing,nonlinear_tightness,quality_flag,data_quality,0.0135887152716145,0.520586182833217,0.0603950854550321,0.0106396769653889,0.1415721110662278,-0.1142317127569233,0.1415721110662278,-0.2608029471774906,-0.5290529860066362,-1.1996780830794995,6,4,4
28,tightness_composite__missing,tightness_composite,quality_flag,data_quality,0.0135887152716145,0.520586182833217,0.0603950854550321,0.0106396769653889,0.1415721110662278,-0.1142317127569233,0.1415721110662278,-0.2608029471774906,-0.5290529860066362,-1.1996780830794995,6,4,4
