rank,feature_name,source_factor,usage_type,category,rank_ic_mean,rank_ic_hit_rate,rank_icir,gross_annual_return,gross_sharpe,gross_max_drawdown,net_0bps_sharpe,net_3bps_sharpe,net_5bps_sharpe,net_10bps_sharpe,years_evaluated,years_rank_ic_positive,years_gross_sharpe_positive
10,carry_annualized__csz,carry_annualized,predictor,term_structure,0.0290998185730773,0.546896551724138,0.1111220286105459,0.0255275405806335,0.2788346735927853,-0.2092637217455718,0.2788346735927853,-0.0514737046394185,-0.2716792901275547,-0.8221932538478945,6,5,4
11,basis_fresh__csz,basis_fresh,predictor,basis_spot,0.028522075259036,0.5571192052980133,0.1292591295774111,0.0369782738854542,0.4634808159775814,-0.1487320217464038,0.4634808159775814,0.0844566376566117,-0.1682261478907015,-0.7999331117589846,6,5,4
12,warehouse_tightness__csz,warehouse_tightness,predictor,inventory_fundamental,0.0230017102255047,0.5402379286214136,0.1126787382530256,0.0538490231751872,0.8313674921320291,-0.0565670549670012,0.8313674921320291,0.3644963869629953,0.0532489835169726,-0.7248695250980836,6,5,5
13,information_divergence__csz,information_divergence,predictor,information_news,0.0227354211913412,0.5387299371946964,0.105967128786562,0.0213342564841519,0.284325768145846,-0.1249419770829383,0.284325768145846,-0.1186885686845645,-0.3873647932381717,-1.0590553546221897,6,5,3
14,inventory_price_divergence__csz,inventory_price_divergence,predictor,information_news,0.0214340697633608,0.5457063711911357,0.1155839739554501,0.0182645740463127,0.3133468029070894,-0.1047814897518294,0.3133468029070894,-0.2054502572314871,-0.5513149639905386,-1.4159767308881663,6,5,3
15,term_structure_slope__csz,term_structure_slope,predictor,term_structure,0.0203720925302812,0.5462068965517242,0.0769802372051504,0.0109160080963481,0.1071901158022828,-0.2320658878596666,0.1071901158022828,-0.1897526011003763,-0.3877144123688161,-0.8826189405399149,6,4,3
16,nonlinear_tightness__csz,nonlinear_tightness,predictor,factor_interaction,0.0197089184244921,0.5240753663642708,0.0921721054756605,0.0394013792916686,0.5388764208466398,-0.1107782101880107,0.5388764208466398,0.1252964076756779,-0.1504236011049634,-0.8397236230565664,6,4,4
17,tightness_composite__csz,tightness_composite,predictor,inventory_fundamental,0.0193730737942364,0.5247732030704815,0.0906375430326178,0.038287505792531,0.5234735939161057,-0.1107782101880107,0.5234735939161057,0.1100269315557951,-0.1656041766844122,-0.8546819472849301,6,4,4
18,information_consistency__csz,information_consistency,predictor,information_news,0.0189604718628572,0.5366364270760642,0.0883576542068129,0.0235359270024185,0.3215787762862099,-0.1028710018875795,0.3215787762862099,-0.0915998588232414,-0.3670522822295425,-1.0556833407452948,6,4,5
19,short_reversal_5__csz,short_reversal_5,predictor,value_reversion,0.0181756848077032,0.5262068965517241,0.0661944500436517,0.0468884044370519,0.4377858508451002,-0.2026362964795087,0.4377858508451002,0.155442182117178,-0.0327869303681034,-0.5033597115813068,6,5,4
20,inventory_acceleration__csz,inventory_acceleration,predictor,inventory_fundamental,0.0177691491505796,0.5440666204024983,0.0985105262483059,0.0128998969108495,0.1953405742586255,-0.1501504216393804,0.1953405742586255,-0.2625777336475896,-0.5678566055850667,-1.3310537854287587,6,5,4
21,term_structure_acceleration__csz,term_structure_acceleration,predictor,term_structure,0.0158983859867872,0.5344827586206896,0.0698057654458787,0.0106575813129969,0.1275694213704428,-0.1881100906554939,0.1275694213704428,-0.2343981948219571,-0.475709938950224,-1.0789892992708907,6,5,4
29,inventory_change_5__csz,inventory_change_5,predictor,inventory_fundamental,0.0130361802518817,0.5277008310249307,0.0707663433598391,0.0219550648464476,0.3766635859675507,-0.1009578010187741,0.3766635859675507,-0.1421372884239317,-0.4880045380182536,-1.3526726620040577,6,4,4
30,term_structure_momentum__csz,term_structure_momentum,predictor,term_structure,0.012759894667376,0.54,0.0538386037710447,0.0010504144338997,0.0118668367388179,-0.2164971816681897,0.0118668367388179,-0.329763220313591,-0.5575165916818638,-1.1269000201025454,6,5,3
31,fundamental_underreaction__csz,fundamental_underreaction,predictor,information_news,0.0127440396167579,0.5175718849840255,0.0555408264918961,-0.0080562939263724,-0.1105000942109356,-0.1559822666770645,-0.1105000942109356,-0.5252718092795904,-0.8017862859920272,-1.4930724777731184,6,4,2
33,value_252__csz,value_252,predictor,value_reversion,0.0125577481194222,0.5075862068965518,0.0455254470982619,-0.0022094732528288,-0.0218096866754826,-0.1470914436290462,-0.0218096866754826,-0.3203084008926327,-0.5193075437040663,-1.0168054007326497,6,4,2
