rank,feature_name,source_factor,usage_type,category,rank_ic_mean,rank_ic_hit_rate,rank_icir,gross_annual_return,gross_sharpe,gross_max_drawdown,net_0bps_sharpe,net_3bps_sharpe,net_5bps_sharpe,net_10bps_sharpe,years_evaluated,years_rank_ic_positive,years_gross_sharpe_positive
1,volume_shock_20__missing,volume_shock_20,quality_flag,data_quality,0.1415950355739791,0.8,0.6876951596562525,-0.0034959813784468,-0.0629836206595357,-0.1373484077095402,-0.0629836206595357,-0.6077876349161885,-0.9709903110872906,-1.8789970015150452,6,1,1
2,correlation_risk_20_120__missing,correlation_risk_20_120,quality_flag,data_quality,0.0594540130442625,0.6333333333333333,0.3765093544971773,0.0003262887690299,0.0059003083717394,-0.1179029018336728,0.0059003083717394,-0.5409322586572923,-0.905487303343314,-1.8168749150583672,6,2,1
3,amihud_20__missing,amihud_20,quality_flag,data_quality,0.0514343618740105,0.5897435897435898,0.2378817413546234,-0.0023417674641589,-0.0421506750845347,-0.1336689982919872,-0.0421506750845347,-0.5864559633186512,-0.9493261554747288,-1.8565016358649236,6,2,1
4,basis_surprise__missing,basis_surprise,quality_flag,data_quality,0.0320792592365306,0.5219917012448133,0.1212387124782011,0.0331990818254774,0.4119384447814345,-0.1006218049199616,0.4119384447814345,0.0367166649841726,-0.2134311882140021,-0.8388008212094387,6,5,4
5,basis_fresh__missing,basis_fresh,quality_flag,data_quality,0.0320290604523869,0.5215231788079471,0.1205250153343786,0.0343401464449336,0.4216166411120408,-0.0942286998823771,0.4216166411120408,0.0503402038471925,-0.1971774209960398,-0.8159714831041204,6,5,4
6,basis_momentum_20__missing,basis_momentum_20,quality_flag,data_quality,0.0317674272054077,0.5200333889816361,0.1200602680312489,0.0344564584986309,0.422699637102502,-0.0936440139055956,0.422699637102502,0.0517260204585416,-0.1955897239707655,-0.8138790850440332,6,5,4
7,basis_shock_20__missing,basis_shock_20,quality_flag,data_quality,0.0311422084832274,0.5191986644407346,0.1171764042051429,0.0356464239054984,0.4384358716158245,-0.0946501268026729,0.4384358716158245,0.0664967174159151,-0.1814627187173578,-0.8013613090505401,6,5,4
8,fundamental_composite_news__missing,fundamental_composite_news,quality_flag,data_quality,0.0297825862477275,0.5215654952076677,0.1163765169469651,0.0296656116491098,0.3769536486679022,-0.0955534422204223,0.3769536486679022,-0.0072986118466524,-0.2634667855230224,-0.9038872197139468,6,5,4
9,fundamental_underreaction__missing,fundamental_underreaction,quality_flag,data_quality,0.0297825862477275,0.5215654952076677,0.1163765169469651,0.0296656116491098,0.3769536486679022,-0.0955534422204223,0.3769536486679022,-0.0072986118466524,-0.2634667855230224,-0.9038872197139468,6,5,4
23,curve_curvature__missing,curve_curvature,quality_flag,data_quality,0.0145352596323422,0.5206611570247934,0.0623316375989295,-0.000655401354857,-0.0119132581533671,-0.1486326760670526,-0.0119132581533671,-0.5615870174278039,-0.9280361902774288,-1.84415912240149,6,2,2
25,information_consistency__missing,information_consistency,quality_flag,data_quality,0.0135887152716145,0.520586182833217,0.0603950854550321,0.0106396769653889,0.1415721110662278,-0.1142317127569233,0.1415721110662278,-0.2608029471774906,-0.5290529860066362,-1.1996780830794995,6,4,4
26,information_divergence__missing,information_divergence,quality_flag,data_quality,0.0135887152716145,0.520586182833217,0.0603950854550321,0.0106396769653889,0.1415721110662278,-0.1142317127569233,0.1415721110662278,-0.2608029471774906,-0.5290529860066362,-1.1996780830794995,6,4,4
