shortlist_rank,rank,feature_name,source_factor,category,rank_ic_mean,rank_ic_hit_rate,rank_icir,gross_annual_return,gross_sharpe,net_0bps_sharpe,net_3bps_sharpe,net_5bps_sharpe,net_10bps_sharpe,years_evaluated,years_rank_ic_positive,years_gross_sharpe_positive
1,12,warehouse_tightness__csz,warehouse_tightness,inventory_fundamental,0.0230017102255047,0.5402379286214136,0.1126787382530256,0.0538490231751872,0.8313674921320291,0.8313674921320291,0.3644963869629953,0.0532489835169726,-0.7248695250980836,6,5,5
2,19,short_reversal_5__csz,short_reversal_5,value_reversion,0.0181756848077032,0.5262068965517241,0.0661944500436517,0.0468884044370519,0.4377858508451002,0.4377858508451002,0.155442182117178,-0.0327869303681034,-0.5033597115813068,6,5,4
3,16,nonlinear_tightness__csz,nonlinear_tightness,factor_interaction,0.0197089184244921,0.5240753663642708,0.0921721054756605,0.0394013792916686,0.5388764208466398,0.5388764208466398,0.1252964076756779,-0.1504236011049634,-0.8397236230565664,6,4,4
4,17,tightness_composite__csz,tightness_composite,inventory_fundamental,0.0193730737942364,0.5247732030704815,0.0906375430326178,0.038287505792531,0.5234735939161057,0.5234735939161057,0.1100269315557951,-0.1656041766844122,-0.8546819472849301,6,4,4
5,11,basis_fresh__csz,basis_fresh,basis_spot,0.028522075259036,0.5571192052980133,0.1292591295774111,0.0369782738854542,0.4634808159775814,0.4634808159775814,0.0844566376566117,-0.1682261478907015,-0.7999331117589846,6,5,4
6,36,sector_relative_value_60__csz,sector_relative_value_60,industry_chain,0.0108895297431895,0.5241379310344828,0.0436599776701658,0.0297845175665317,0.3172029927830505,0.3172029927830505,-0.0048508555068418,-0.2195534210334369,-0.756309834849924,6,5,4
7,10,carry_annualized__csz,carry_annualized,term_structure,0.0290998185730773,0.546896551724138,0.1111220286105459,0.0255275405806335,0.2788346735927853,0.2788346735927853,-0.0514737046394185,-0.2716792901275547,-0.8221932538478945,6,5,4
8,18,information_consistency__csz,information_consistency,information_news,0.0189604718628572,0.5366364270760642,0.0883576542068129,0.0235359270024185,0.3215787762862099,0.3215787762862099,-0.0915998588232414,-0.3670522822295425,-1.0556833407452948,6,4,5
9,13,information_divergence__csz,information_divergence,information_news,0.0227354211913412,0.5387299371946964,0.105967128786562,0.0213342564841519,0.284325768145846,0.284325768145846,-0.1186885686845645,-0.3873647932381717,-1.0590553546221897,6,5,3
10,15,term_structure_slope__csz,term_structure_slope,term_structure,0.0203720925302812,0.5462068965517242,0.0769802372051504,0.0109160080963481,0.1071901158022828,0.1071901158022828,-0.1897526011003763,-0.3877144123688161,-0.8826189405399149,6,4,3
