shortlist_rank,rank,feature_name,source_factor,category,rank_ic_mean,rank_ic_hit_rate,rank_icir,gross_annual_return,gross_sharpe,net_0bps_sharpe,net_3bps_sharpe,net_5bps_sharpe,net_10bps_sharpe,years_evaluated,years_rank_ic_positive,years_gross_sharpe_positive
1,11,basis_fresh__csz,basis_fresh,basis_spot,0.028522075259036,0.5571192052980133,0.1292591295774111,0.0369782738854542,0.4634808159775814,0.4634808159775814,0.0844566376566117,-0.1682261478907015,-0.7999331117589846,6,5,4
2,10,carry_annualized__csz,carry_annualized,term_structure,0.0290998185730773,0.546896551724138,0.1111220286105459,0.0255275405806335,0.2788346735927853,0.2788346735927853,-0.0514737046394185,-0.2716792901275547,-0.8221932538478945,6,5,4
3,14,inventory_price_divergence__csz,inventory_price_divergence,information_news,0.0214340697633608,0.5457063711911357,0.1155839739554501,0.0182645740463127,0.3133468029070894,0.3133468029070894,-0.2054502572314871,-0.5513149639905386,-1.4159767308881663,6,5,3
4,20,inventory_acceleration__csz,inventory_acceleration,inventory_fundamental,0.0177691491505796,0.5440666204024983,0.0985105262483059,0.0128998969108495,0.1953405742586255,0.1953405742586255,-0.2625777336475896,-0.5678566055850667,-1.3310537854287587,6,5,4
5,12,warehouse_tightness__csz,warehouse_tightness,inventory_fundamental,0.0230017102255047,0.5402379286214136,0.1126787382530256,0.0538490231751872,0.8313674921320291,0.8313674921320291,0.3644963869629953,0.0532489835169726,-0.7248695250980836,6,5,5
6,30,term_structure_momentum__csz,term_structure_momentum,term_structure,0.012759894667376,0.54,0.0538386037710447,0.0010504144338997,0.0118668367388179,0.0118668367388179,-0.329763220313591,-0.5575165916818638,-1.1269000201025454,6,5,3
7,13,information_divergence__csz,information_divergence,information_news,0.0227354211913412,0.5387299371946964,0.105967128786562,0.0213342564841519,0.284325768145846,0.284325768145846,-0.1186885686845645,-0.3873647932381717,-1.0590553546221897,6,5,3
8,21,term_structure_acceleration__csz,term_structure_acceleration,term_structure,0.0158983859867872,0.5344827586206896,0.0698057654458787,0.0106575813129969,0.1275694213704428,0.1275694213704428,-0.2343981948219571,-0.475709938950224,-1.0789892992708907,6,5,4
9,19,short_reversal_5__csz,short_reversal_5,value_reversion,0.0181756848077032,0.5262068965517241,0.0661944500436517,0.0468884044370519,0.4377858508451002,0.4377858508451002,0.155442182117178,-0.0327869303681034,-0.5033597115813068,6,5,4
10,36,sector_relative_value_60__csz,sector_relative_value_60,industry_chain,0.0108895297431895,0.5241379310344828,0.0436599776701658,0.0297845175665317,0.3172029927830505,0.3172029927830505,-0.0048508555068418,-0.2195534210334369,-0.756309834849924,6,5,4
