feature_name,fold_id,test_year,rank_ic_mean,rank_ic_hit_rate,gross_sharpe,net_5bps_sharpe,gross_annual_return,strategy_days,applied_direction,direction_source
amihud_20__csz,fold_2019,2019,0.041234776746986335,0.610655737704918,2.4831008569799393,1.6052941098660205,0.14256928828954146,49,-1,catalog
amihud_20__csz,fold_2020,2020,0.011117706906570629,0.5308641975308642,0.4130439003945956,-0.12250530023016164,0.038871148636955455,49,-1,catalog
amihud_20__csz,fold_2021,2021,-0.03663999960941308,0.4156378600823045,-1.4625855330529274,-1.9280151798953584,-0.1583790619397805,49,-1,catalog
amihud_20__csz,fold_2022,2022,-0.0009601324220531529,0.5,-0.3150532505748183,-0.8311135390845646,-0.030769048079294255,49,-1,catalog
amihud_20__csz,fold_2023,2023,0.001855649119041938,0.512396694214876,-0.04217996854163085,-0.8029861453853393,-0.0027942339050369062,49,-1,catalog
amihud_20__csz,fold_2024,2024,0.052548210043442664,0.597457627118644,1.6335613629799723,1.0550656423117,0.14231996841581135,48,-1,catalog
amihud_20__missing,fold_2019,2019,0.0834315026509712,0.6111111111111112,-0.5932134763754519,-1.6268732770759167,-0.02892437065760154,49,-1,catalog
amihud_20__missing,fold_2020,2020,-0.06436251898326777,0.0,-0.5376791043200572,-1.3114557137746583,-0.035021770529910096,49,-1,catalog
amihud_20__missing,fold_2021,2021,,,1.5642098577166086,0.7723664738550851,0.09956031512754779,49,-1,catalog
amihud_20__missing,fold_2022,2022,0.033310426491340334,0.631578947368421,-0.1850696664532643,-1.0655457260089412,-0.010593713580300586,49,-1,catalog
amihud_20__missing,fold_2023,2023,,,-0.45791734762583247,-1.5213253591354663,-0.021702896790836226,49,-1,catalog
amihud_20__missing,fold_2024,2024,,,-0.36302699532375693,-1.3978290196508638,-0.01768121837238859,48,-1,catalog
basis_fresh__csz,fold_2019,2019,0.026254989073336232,0.5578512396694215,0.5019083180349763,-0.26253403340129905,0.03309102273236821,49,1,catalog
basis_fresh__csz,fold_2020,2020,0.06819973693500246,0.5975103734439834,0.3254264196627899,-0.2708710218641826,0.027505554122460068,49,1,catalog
basis_fresh__csz,fold_2021,2021,0.007501673800292229,0.5394190871369294,-0.1932836701086599,-0.6435194477188189,-0.021636434636945343,49,1,catalog
basis_fresh__csz,fold_2022,2022,0.04221814402937636,0.6041666666666666,2.37322964516444,1.7785970021237734,0.20115070290230896,49,1,catalog
