feature_name,source_factor,source_factor_id,usage_type,category,catalog_direction,applied_direction,direction_source,direction_source_modes,applied_direction_modes,years_evaluated,years_rank_ic_positive,years_gross_sharpe_positive,fold_id,test_year,train_start,train_end,train_rows,test_rows,score_transform,pearson_ic_mean,rank_ic_mean,rank_ic_hit_rate,rank_icir,ic_days,prediction_rows,prediction_days,strategy_days,target_r2,target_mae,strategy_coverage,gross_annual_return,gross_annual_volatility,gross_sharpe,gross_max_drawdown,gross_total_return,gross_hit_rate,net_0bps_annual_return,net_0bps_annual_volatility,net_0bps_sharpe,net_0bps_max_drawdown,net_0bps_total_return,net_0bps_hit_rate,net_3bps_annual_return,net_3bps_annual_volatility,net_3bps_sharpe,net_3bps_max_drawdown,net_3bps_total_return,net_3bps_hit_rate,net_5bps_annual_return,net_5bps_annual_volatility,net_5bps_sharpe,net_5bps_max_drawdown,net_5bps_total_return,net_5bps_hit_rate,net_10bps_annual_return,net_10bps_annual_volatility,net_10bps_sharpe,net_10bps_max_drawdown,net_10bps_total_return,net_10bps_hit_rate
amihud_20__csz,amihud_20,22,risk,trading_liquidity,-1,-1,catalog,catalog,-1,1,1,1,fold_2025,2025,2015-01-05,2024-12-23,69628,7100,cs_rank_centered,0.11473425828144901,0.11144923061957963,0.7130801687763713,0.48828230737583456,237,7100,237,48,-0.7756764771921882,0.6295438562408936,0.20253164556962025,0.21490248052444605,0.07342808816537658,2.926706739802858,-0.032296686658774054,0.2235322505999351,0.7291666666666666,0.21490248052444605,0.07342808816537658,2.926706739802858,-0.032296686658774054,0.2235322505999351,0.7291666666666666,0.18466248052444606,0.07342808816537658,2.514875235598463,-0.0334768329909827,0.18892875096094097,0.7083333333333334,0.16450248052444602,0.07342808816537656,2.2403208994621986,-0.03426319721245552,0.16639404916961742,0.6875,0.11410248052444602,0.07342808816537656,1.5539350591215395,-0.036227707766136485,0.11187112554108647,0.6041666666666666
amihud_20__missing,amihud_20,22,quality_flag,data_quality,-1,-1,catalog,catalog,-1,1,0,0,fold_2025,2025,2015-01-05,2024-12-23,69628,7100,cs_rank_centered,,,,,0,7100,237,48,,,0.20253164556962025,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.14487893289610335,0.04364778611594944,-3.31927334209427,-0.12434947414429309,-0.1298321243064149,0.2708333333333333,-0.16503893289610339,0.04364778611594944,-3.7811524382400727,-0.14070718610248367,-0.14643113397800012,0.25,-0.21543893289610339,0.04364778611594944,-4.935850178604577,-0.18030419985038004,-0.18658407867307236,0.1875
basis_fresh__csz,basis_fresh,7,predictor,basis_spot,1,1,catalog,catalog,1,1,0,0,fold_2025,2025,2015-01-05,2024-12-23,69628,7100,cs_rank_centered,,,,,0,7100,237,48,,,0.20253164556962025,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.14487893289610335,0.04364778611594944,-3.31927334209427,-0.12434947414429309,-0.1298321243064149,0.2708333333333333,-0.16503893289610339,0.04364778611594944,-3.7811524382400727,-0.14070718610248367,-0.14643113397800012,0.25,-0.21543893289610339,0.04364778611594944,-4.935850178604577,-0.18030419985038004,-0.18658407867307236,0.1875
basis_fresh__missing,basis_fresh,7,quality_flag,data_quality,1,1,catalog,catalog,1,1,0,0,fold_2025,2025,2015-01-05,2024-12-23,69628,7100,cs_rank_centered,,,,,0,7100,237,48,,,0.20253164556962025,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.14487893289610335,0.04364778611594944,-3.31927334209427,-0.12434947414429309,-0.1298321243064149,0.2708333333333333,-0.16503893289610339,0.04364778611594944,-3.7811524382400727,-0.14070718610248367,-0.14643113397800012,0.25,-0.21543893289610339,0.04364778611594944,-4.935850178604577,-0.18030419985038004,-0.18658407867307236,0.1875
basis_momentum_20__csz,basis_momentum_20,9,predictor,basis_spot,1,1,catalog,catalog,1,1,0,0,fold_2025,2025,2015-01-05,2024-12-23,69628,7100,cs_rank_centered,,,,,0,7100,237,48,,,0.20253164556962025,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.14487893289610335,0.04364778611594944,-3.31927334209427,-0.12434947414429309,-0.1298321243064149,0.2708333333333333,-0.16503893289610339,0.04364778611594944,-3.7811524382400727,-0.14070718610248367,-0.14643113397800012,0.25,-0.21543893289610339,0.04364778611594944,-4.935850178604577,-0.18030419985038004,-0.18658407867307236,0.1875
basis_momentum_20__missing,basis_momentum_20,9,quality_flag,data_quality,1,1,catalog,catalog,1,1,0,0,fold_2025,2025,2015-01-05,2024-12-23,69628,7100,cs_rank_centered,,,,,0,7100,237,48,,,0.20253164556962025,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.14487893289610335,0.04364778611594944,-3.31927334209427,-0.12434947414429309,-0.1298321243064149,0.2708333333333333,-0.16503893289610339,0.04364778611594944,-3.7811524382400727,-0.14070718610248367,-0.14643113397800012,0.25,-0.21543893289610339,0.04364778611594944,-4.935850178604577,-0.18030419985038004,-0.18658407867307236,0.1875
basis_shock_20__csz,basis_shock_20,8,predictor,basis_spot,1,1,catalog,catalog,1,1,0,0,fold_2025,2025,2015-01-05,2024-12-23,69628,7100,cs_rank_centered,,,,,0,7100,237,48,,,0.20253164556962025,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.14487893289610335,0.04364778611594944,-3.31927334209427,-0.12434947414429309,-0.1298321243064149,0.2708333333333333,-0.16503893289610339,0.04364778611594944,-3.7811524382400727,-0.14070718610248367,-0.14643113397800012,0.25,-0.21543893289610339,0.04364778611594944,-4.935850178604577,-0.18030419985038004,-0.18658407867307236,0.1875
basis_shock_20__missing,basis_shock_20,8,quality_flag,data_quality,1,1,catalog,catalog,1,1,0,0,fold_2025,2025,2015-01-05,2024-12-23,69628,7100,cs_rank_centered,,,,,0,7100,237,48,,,0.20253164556962025,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.14487893289610335,0.04364778611594944,-3.31927334209427,-0.12434947414429309,-0.1298321243064149,0.2708333333333333,-0.16503893289610339,0.04364778611594944,-3.7811524382400727,-0.14070718610248367,-0.14643113397800012,0.25,-0.21543893289610339,0.04364778611594944,-4.935850178604577,-0.18030419985038004,-0.18658407867307236,0.1875
basis_surprise__csz,basis_surprise,47,predictor,basis_spot,1,1,catalog,catalog,1,1,0,0,fold_2025,2025,2015-01-05,2024-12-23,69628,7100,cs_rank_centered,,,,,0,7100,237,48,,,0.20253164556962025,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.14487893289610335,0.04364778611594944,-3.31927334209427,-0.12434947414429309,-0.1298321243064149,0.2708333333333333,-0.16503893289610339,0.04364778611594944,-3.7811524382400727,-0.14070718610248367,-0.14643113397800012,0.25,-0.21543893289610339,0.04364778611594944,-4.935850178604577,-0.18030419985038004,-0.18658407867307236,0.1875
basis_surprise__missing,basis_surprise,47,quality_flag,data_quality,1,1,catalog,catalog,1,1,0,0,fold_2025,2025,2015-01-05,2024-12-23,69628,7100,cs_rank_centered,,,,,0,7100,237,48,,,0.20253164556962025,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.11463893289610336,0.04364778611594944,-2.6264546978755674,-0.09923997494377523,-0.10433938546405963,0.3125,-0.14487893289610335,0.04364778611594944,-3.31927334209427,-0.12434947414429309,-0.1298321243064149,0.2708333333333333,-0.16503893289610339,0.04364778611594944,-3.7811524382400727,-0.14070718610248367,-0.14643113397800012,0.25,-0.21543893289610339,0.04364778611594944,-4.935850178604577,-0.18030419985038004,-0.18658407867307236,0.1875
