factor_id,factor_name,category,protocol_role,usage_type,economic_meaning,expected_direction,orientation,coverage,ic_observations,ic_mean,rank_ic,ic_std,ic_ir,rank_ic_std,rank_ic_ir,rank_ic_hit_rate,p_ic_gt_002,p_ic_lt_neg002,rank_ic_t_stat,rank_ic_p_value,factor_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,turnover,t_stat,p_value,annual_return_0bps,sharpe_0bps,annual_return_3bps,sharpe_3bps,annual_return_5bps,sharpe_5bps,annual_return_10bps,sharpe_10bps,monotonicity,group_return_spread,rank_ic_fdr_q,portfolio_fdr_q
tsmom_60,时间序列动量,trend_momentum,core,predictor,波动率调整后的中期趋势延续,positive,1.0,0.9986122033584679,1450,-0.004655762489440449,-0.006862567523740022,0.27894578330288133,-0.016690564145883463,0.2678300555266534,-0.025622843225140152,0.4917241379310345,0.4668965517241379,0.476551724137931,-0.5473381079933389,0.5842307561665976,-0.18060027990236338,-0.034024373178885736,0.10069442911967694,-0.2930530979661421,-0.2516550887181287,-0.13520240481604334,0.5441379310344828,-0.7139807880981087,0.4758152876929592,-0.020675505788458337,-0.1569281350370645,-0.028706290596741124,-0.2386157736064861,-0.034024373178885736,-0.2930530979661421,-0.047195458221637065,-0.4290606226896848,0.0,-0.0005435394612906194,0.7151716225977933,0.9483661619600654
csmom_60,横截面动量,trend_momentum,core,predictor,同日商品过去收益相对强弱,positive,1.0,0.9986122033584679,1450,-0.0050753488581843425,-0.008735254231848122,0.3008425871878487,-0.01687044678622994,0.28887954790104786,-0.030238396228867943,0.49724137931034484,0.48482758620689653,0.46620689655172415,-0.6410863483436952,0.5215679635820872,-0.16818073284047763,-0.03149562368196068,0.11254746835058847,-0.22783615977608646,-0.23358550777529608,-0.13483552118421127,0.5040229885057471,-0.5735800230807657,0.5666981093888409,-0.0191091877611117,-0.11497290223288363,-0.02655947501238276,-0.1826897706353066,-0.03149562368196068,-0.22783615977608646,-0.04372937519839615,-0.34069978073944435,-0.7,-0.0003299401430858638,0.6854893235650289,0.9483661619600654
trend_efficiency_60,趋势效率,trend_momentum,core,predictor,价格路径的单向和平滑程度,positive,1.0,0.9986122033584679,1450,0.008809209619089058,0.004989955546937553,0.25709119519310164,0.03426492149010566,0.24392483459304531,0.020456939348806366,0.5089655172413793,0.48482758620689653,0.4517241379310345,0.44965590242234216,0.6530258263225821,-0.026948757474700713,-0.004736519898970726,0.08797468196277655,-0.010121893848981432,-0.22089565931280852,-0.021442340305399026,0.9050574712643678,-0.02485014351693276,0.9801916443416228,0.018222673400797085,0.24914188302009227,0.0043857632958792525,0.09358198542245984,-0.004736519898970726,-0.010121893848981432,-0.02718925912174508,-0.2693147155460153,0.3,0.0004965900681289659,0.7509797002709695,0.98475095540502
multi_horizon_trend,多周期趋势一致性,trend_momentum,core,predictor,20/60/120日趋势方向一致程度,positive,1.0,0.9972244067169358,1450,-0.005505095316537469,-0.009897511745587355,0.25364528142053244,-0.02170391377165132,0.25434166342854037,-0.03891423690546143,0.49517241379310345,0.46413793103448275,0.4820689655172414,-0.839021683396291,0.40159553537444637,-0.1214151404037066,-0.022245108412176196,0.08225659990262059,-0.23235694549249025,-0.2278348517650094,-0.09763698679041419,0.715632183908046,-0.5921667067970104,0.5542019523641174,-0.004451878770599715,-0.013106638695870428,-0.015165410666951429,-0.14461792319759184,-0.022245108412176196,-0.23235694549249025,-0.03972755336688527,-0.45188285226057756,-0.3,-8.449495386471297e-05,0.6420691664945198,0.9483661619600654
carry_annualized,Carry因子,term_structure,core,predictor,完整可交易曲线最近两个合约之间的年化期限结构补偿,positive,1.0,0.9992598417911829,1450,0.030135494650002807,0.029277502214980333,0.2936528903059156,0.1026228436526161,0.2619214876862873,0.1117796881561968,0.546896551724138,0.5110344827586207,0.4393103448275862,2.3106896102460124,0.02098984484568295,0.19841588866351967,0.03195664404892451,0.09838753373136805,0.3689284759563689,-0.27414523459112383,0.11656830036307765,0.46919540229885054,0.8153938109295875,0.41551840661491646,0.04422277640379235,0.4891041329390811,0.03684612573583057,0.41700161334904134,0.03195664404892451,0.3689284759563689,0.019831199036743685,0.24873865619629926,0.9999999999999999,0.0018336033427099345,0.19310657258028313,0.9483661619600654
carry_change_20,Carry变化,term_structure,core,predictor,期限结构二十日边际变化,positive,1.0,0.9976407457093954,1450,-0.02656395518020195,-0.009002980925107849,0.24717239523759868,-0.10747136691646693,0.21653314376231134,-0.041577842397145584,0.48,0.4289655172413793,0.5062068965517241,-0.9334644989361194,0.3507357104667279,-0.3388530264301002,-0.06938717318013776,0.08756635276913026,-0.7768604319731244,-0.382739755078779,-0.18129073935853843,0.8832183908045976,-1.9777152217012062,0.048910646263829974,-0.04840444457407034,-0.5234524337905296,-0.061048942578885046,-0.6755979669048929,-0.06938717318013776,-0.7768604319731244,-0.08991724068038565,-1.0293802079235042,-0.3,-0.001793469908391193,0.6420691664945198,0.9483661619600654
basis_fresh,基差,basis_spot,extension,predictor,新鲜现货相对主力期货的强弱,positive,1.0,0.7485081186103529,1208,0.03329662307359992,0.03089087336184375,0.273139332759503,0.12190343564658751,0.23991979587668683,0.12875500018231484,0.5513245033112583,0.5182119205298014,0.41804635761589404,2.499451681336237,0.012570540832539213,0.3623471892340644,0.06651600336017371,0.09273900158034203,0.7411426256898672,-0.13123857587239518,0.506832712241925,0.6173553719008265,1.7248717760663053,0.08583263021673723,0.08322185247499769,0.909498616772838,0.07316793360834906,0.8084683191865867,0.06651600336017371,0.7411426256898672,0.05006182338482579,0.5729501061972297,0.7,0.003046890965629246,0.19260628031767363,0.9483661619600654
basis_shock_20,基差冲击,basis_spot,extension,predictor,基差日变化相对历史条件分布的异常,positive,1.0,0.7420548642272285,1198,0.003103479042371166,0.0011683518252807378,0.24128997405794816,0.012862030652072743,0.24383331750921533,0.004791600414642194,0.501669449081803,0.4699499165275459,0.4590984974958264,0.1886906536771765,0.8503672627166182,-0.12807844251976286,-0.02848847486855166,0.08109633864550143,-0.31625921977132215,-0.21323555690280582,-0.13360095887543227,1.6033472803347282,-0.7218681340979809,0.4710841658032626,0.011582066402487712,0.1820702902667605,-0.012650390335686157,-0.11699693885243327,-0.02848847486855166,-0.31625921977132215,-0.06700285561132602,-0.8139159426272511,0.3,0.0003143730771698974,0.889020320112828,0.9483661619600654
basis_momentum_20,基差动量,basis_spot,extension,predictor,新鲜可用基差的二十日边际变化,positive,1.0,0.7417541749548966,1198,-0.01128469314836251,-0.005176050963283342,0.3025055351666128,-0.0373040881455183,0.2583641460530427,-0.02003393676079454,0.48831385642737896,0.46327212020033387,0.48580968280467446,-0.4045087835900217,0.6859108879010101,-0.08781735063205054,-0.019117063636485354,0.09329217469594384,-0.16025589914346744,-0.19650291633688077,-0.09728641178898044,0.9816666666666668,-0.309011780301406,0.7575817713608995,0.0054516167682543415,0.104855119712252,-0.009360900591657617,-0.05417834159996363,-0.019117063636485354,-0.16025589914346744,-0.0430980116414873,-0.42559915605824955,-0.09999999999999999,-0.00017204766325384967,0.7695585571572309,0.9483661619600654
curve_curvature,期限结构曲率,term_structure,core,predictor,曲线第二个合约相对第一和第三个合约线性插值的弯曲程度,mixed,1.0,0.9268399870472314,1450,-0.0005017680317378466,-0.007598151599550175,0.23926779893914096,-0.0020970980381086464,0.2158950877235363,-0.03519372154164045,0.4862068965517241,0.46206896551724136,0.48,-0.7908643241804012,0.4291525916512976,-0.26610376010948444,-0.052349423775276294,0.07675990481469323,-0.6618690206516724,-0.3296719092027838,-0.1587924913040612,0.7973563218390806,-1.7171001532670367,0.0870322172598219,-0.033099012033395936,-0.3999737632122465,-0.044694599581034944,-0.557107383427492,-0.052349423775276294,-0.6618690206516724,-0.07122535567510957,-0.9237044055971689,-0.39999999999999997,-0.0015717646825912708,0.6420691664945198,0.9483661619600654
value_252,价值因子,value_reversion,extension,predictor,价格相对一年滚动历史锚点的反向偏离,positive,1.0,0.9970856270527826,1450,0.004586841023884105,0.012676892651755985,0.27734348531929,0.016538484827229787,0.27640206255611927,0.045863958229986554,0.5082758620689655,0.4668965517241379,0.47586206896551725,0.9447170939662731,0.3449608250223737,-0.1529070810540195,-0.028428171148830006,0.10159421574081096,-0.23329324751345612,-0.23095570727003867,-0.12308927752796835,0.4024137931034482,-0.5717336042324597,0.5679468674569085,-0.018521176608180423,-0.1334567269003283,-0.02447713043335753,-0.19335630121447833,-0.028428171148830006,-0.23329324751345612,-0.038237629211323565,-0.3331422001645417,0.19999999999999998,-0.0006747316084441592,0.6420691664945198,0.9483661619600654
short_reversal_5,短期反转,value_reversion,extension,predictor,过去五日过度反应后的修复,positive,1.0,0.9998843502798723,1450,0.021634013086876232,0.018223716663007684,0.304305633431101,0.07109304169938895,0.2745624223994336,0.06637367380338671,0.5262068965517241,0.4993103448275862,0.4489655172413793,1.6495348659104296,0.09925485272725507,-0.03743841361457412,-0.006609523620676794,0.10762917857582305,-0.007789940368083575,-0.2451596676662865,-0.0269600774205394,1.577471264367816,-0.019129553710688783,0.98475095540502,0.03368078584324885,0.36190853042132903,0.009318570480995492,0.1400042371629794,-0.006609523620676794,-0.007789940368083575,-0.04536042085327874,-0.37673220118899053,0.3,0.0011390762730590046,0.45918212920580936,0.98475095540502
inventory_scarcity,库存稀缺因子,inventory_fundamental,extension,predictor,库存相对历史同期的稀缺程度,positive,1.0,0.26620252578988757,1403,-0.008725828083170208,-0.0034226861589845186,0.3689299233141135,-0.02365172226959992,0.3610551788894211,-0.009479676124609116,0.48467569493941554,0.47398431931575197,0.48610121168923737,-0.2061279793430717,0.8367208714377803,0.012778696918826382,0.002240148791904595,0.13622329463533775,0.08387034075969914,-0.2397725380111413,0.00934280802332961,0.2727272727272727,0.22496554260172993,0.822167294790127,0.009190426713539424,0.13459875622719858,0.00501501368011481,0.10413885265007003,0.002240148791904595,0.08387034075969914,-0.004666525929259202,0.03334413845239363,-0.49999999999999994,-0.00074012286696506,0.889020320112828,0.9483661619600654
inventory_change_5,库存变化因子,inventory_fundamental,extension,predictor,五日库存下降所表示的边际趋紧,positive,1.0,0.3335800527362724,1444,0.013798497103777424,0.02112833681928561,0.3048601681471359,0.04526172503164729,0.3291966975472404,0.06418149688835699,0.5117728531855956,0.47645429362880887,0.47022160664819945,1.4992333374419033,0.13403184365935125,0.3905760884702898,0.05897635022573344,0.09406397268119886,0.6564313733227524,-0.17109884650744123,0.34469168804810446,1.1293103448275863,1.4712106534277214,0.14232215664995324,0.08952377521894217,0.9608611872528936,0.07109367029744229,0.7780949734961535,0.05897635022573344,0.6564313733227524,0.029265407043020053,0.3530614264289169,0.8999999999999998,0.0034920328312194457,0.45918212920580936,0.9483661619600654
inventory_surprise,库存意外／库存新息,information_news,extension,predictor,库存相对仅用历史信息形成的条件预期的标准化意外,positive,1.0,0.055373085997131886,252,-0.02893707580875147,-0.018235071806500386,0.3912679452802713,-0.0739571849874474,0.3914242811507612,-0.04658646048449139,0.45634920634920634,0.44047619047619047,0.5158730158730159,-0.802734540069142,0.422887617691146,-0.10502861668452046,-0.13359172303977895,0.1833714399132528,-0.687693232203765,-0.148119641912847,-0.9019176748913813,1.1282051282051282,-0.7323030885508645,0.46847653005167744,-0.10851159157582635,-0.5330462266930339,-0.12364308145165126,-0.6258771745048765,-0.13359172303977895,-0.687693232203765,-0.15798542123465265,-0.8419413617968757,-0.3,-0.006119478278758789,0.6420691664945198,0.9483661619600654
warehouse_tightness,仓单紧张因子,inventory_fundamental,extension,predictor,注册仓单相对历史同期的紧张程度,positive,1.0,0.940000925197761,1429,0.022407099759153247,0.023557104891184816,0.21479928698666137,0.10431645315724296,0.21037783517515748,0.11197522244475763,0.5423372988103569,0.5136459062281316,0.4205738278516445,2.451172197305179,0.014358338579690643,0.23858988138904724,0.03842716311300309,0.07771240937942554,0.5240327708145758,-0.07268778556269673,0.5286605282514462,0.5191724941724942,1.5825810860709577,0.11462602858610287,0.05209118163696691,0.6923959896234343,0.04387186287624356,0.591386256142733,0.03842716311300309,0.5240327708145758,0.024936367785935554,0.3556303827337649,0.09999999999999999,0.0022291926986901,0.19260628031767363,0.9483661619600654
