,tsmom_60__csz,tsmom_60__missing,csmom_60__csz,csmom_60__missing,trend_efficiency_60__csz,trend_efficiency_60__missing,multi_horizon_trend__csz,multi_horizon_trend__missing,carry_annualized__csz,carry_annualized__missing,carry_change_20__csz,carry_change_20__missing,basis_fresh__csz,basis_fresh__missing,basis_shock_20__csz,basis_shock_20__missing,basis_momentum_20__csz,basis_momentum_20__missing,curve_curvature__csz,curve_curvature__missing,value_252__csz,value_252__missing,short_reversal_5__csz,inventory_scarcity__csz,inventory_scarcity__missing,inventory_change_5__csz,inventory_change_5__missing,inventory_surprise__csz,inventory_surprise__missing,warehouse_tightness__csz,warehouse_tightness__missing,tightness_composite__csz,tightness_composite__missing,oi_growth_20__csz,oi_growth_20__missing,price_oi_interaction_20__csz,price_oi_interaction_20__missing,volume_shock_20__csz,volume_shock_20__missing,amihud_20__csz,amihud_20__missing,turnover_oi__csz,realized_volatility_20__csz,realized_volatility_20__missing,low_volatility_20__csz,low_volatility_20__missing,realized_skewness_60__csz,realized_skewness_60__missing,seasonality_3y__csz,seasonality_3y__missing,sector_relative_value_60__csz,sector_relative_value_60__missing,factor_momentum__tsz,factor_momentum__missing,fundamental_composite_news__csz,fundamental_composite_news__missing,fundamental_underreaction__csz,fundamental_underreaction__missing,information_consistency__csz,information_consistency__missing,information_divergence__csz,information_divergence__missing,warehouse_surprise__csz,warehouse_surprise__missing,momentum_quality_60__csz,momentum_quality_60__missing,vol_managed_momentum__csz,vol_managed_momentum__missing,idiosyncratic_volatility_60__csz,idiosyncratic_volatility_60__missing,term_structure_slope__csz,term_structure_slope__missing,term_structure_momentum__csz,term_structure_momentum__missing,term_structure_acceleration__csz,term_structure_acceleration__missing,basis_surprise__csz,basis_surprise__missing,inventory_acceleration__csz,inventory_acceleration__missing,inventory_price_divergence__csz,inventory_price_divergence__missing,oi_surprise_60__csz,oi_surprise_60__missing,volume_price_divergence_20__csz,volume_price_divergence_20__missing,momentum_carry_interaction__csz,momentum_carry_interaction__missing,nonlinear_tightness__csz,nonlinear_tightness__missing,correlation_risk_20_120__csz,correlation_risk_20_120__missing
tsmom_60__csz,1.0,4.0042491790621106e-05,0.8757615755851609,3.942676536309734e-05,0.11125810249249303,4.0042491790621106e-05,0.6187356705832221,-0.015145375669117424,0.22895940298892306,-0.03412177193733114,0.07396367007254825,-0.03675257474064387,-0.03225264217683881,0.027977610245030166,-0.005126410596617878,0.026735736620576794,0.007394919093631828,0.026925556444714158,0.01399331672867439,-0.04507098004929253,-0.6617445441988241,-0.021929709110763206,-0.233629642182025,0.006847459510568131,-0.04316143492009301,0.024894864690313576,-0.02948906737718265,0.012486891308639073,-0.010781840610643212,0.08100602607554327,0.009470962955498468,0.09438979935782127,-0.006253568671385807,-0.017549233516419623,-0.0033658053954285475,0.1604400380449182,-0.0027529639664364627,0.011147343196425135,-0.0028196306371962073,-0.08303783221531759,0.0020307292439742477,0.09832080735786876,0.07815350810418899,2.5227147312033517e-05,-0.09998427490145183,2.5227147312033517e-05,0.2222036782194125,3.942676536309734e-05,0.007381576875399468,-0.04136684399805001,0.7520320386877638,3.942676536309734e-05,0.001504197603356185,-0.002203816289667482,-0.023814655655302195,0.0295139529802005,-0.0785563141927649,0.029506124928924325,0.08575937936808081,-0.006253568671385807,-0.4344616690836186,-0.006248718665683318,-0.0005435512571868437,0.021654432082561934,0.8984494128756622,4.0042491790621106e-05,0.5291043902165686,-0.001866422500548719,0.08412432499392573,3.4104661260152176e-05,0.31200515124753014,-0.04507098004929253,0.1601994465097765,-0.04483895326337225,0.0005152382482893494,-0.04078735912821488,-0.03618395113287999,0.02824968025007975,-0.0017078294855166194,-0.029291581423032984,-0.022304084749396536,-0.029574108042412485,0.004459640861983606,-0.0034620814413663923,0.3402597221713852,-0.0019919912261979374,0.10807397562605524,-0.020781642226509203,0.08959452131943851,-0.006253568671385807,-0.028416006468327377,-0.01505850723605912
tsmom_60__missing,4.0042491790621106e-05,1.0,0.00015548604522250858,0.9846231740331444,-0.032181972969763675,1.0,0.008849100980708033,0.737649335783878,-0.056761137180506356,0.2570845105629581,0.0026829343262174845,0.4461332593998138,-0.03272806240176341,0.07291422405890116,-6.50277918972133e-05,0.13695878290704527,-0.0029558300998235873,0.17620347514325307,0.03486929344151001,0.1719686166764311,0.01710181701824424,0.5856292727471587,0.0031840425701041594,0.020784414809121146,0.10431468813013564,-0.016353258971438273,-0.014081936988648916,-0.005572340492068681,0.030758533577003627,0.05149766513641247,0.33866979367807737,0.0004928718020352046,0.3054820494220697,0.028959477943920828,0.5423897061696844,-0.0007913527330446329,0.675129918787761,0.0009138174041008138,0.5562683571171566,0.015314331786817558,0.6775428087314508,-0.019457165145526433,0.005463270762264843,0.6300094270844735,-0.012025680157803052,0.6300094270844735,0.0007516167571880112,0.9846231740331444,-0.005260208470842496,0.27547815162637057,-0.007900374445110358,0.9846231740331444,-0.010946064951482683,0.6949443685294214,4.134533183050164e-05,0.2007406959513183,-0.0003171735252672539,0.20256187052407051,0.004371342471781919,0.3054820494220697,0.004150571942872325,0.31320411181545,-0.027481458377477154,0.41291700609410853,-0.009302825514430044,1.0,0.015427590009889613,0.9931735135697184,0.009888451764525687,0.8517117625560289,-0.04321704423226874,0.1719686166764311,-0.007494083892842,0.20052729863353752,-0.0035439143679442844,0.21772860877482092,0.004711396075378528,0.1689599141990371,-0.005651012782376256,-0.0067623393826509535,-0.010104899911950781,0.027948285579297207,-0.0010072397748971018,0.5712204517383365,-0.004386901367037637,0.6865388645028208,-0.03584533303006957,0.8823415833351382,0.0005763791143220987,0.3054820494220697,0.013673741177382067,0.7497694040352767
csmom_60__csz,0.8757615755851609,0.00015548604522250858,1.0,1.9795886028397885e-17,0.11742584300787892,0.00015548604522251154,0.5920888281165513,-0.0016148525796603236,0.23859116329850766,-0.024193934214903484,0.0825877797225166,-0.026625946097082295,-0.025082982535342798,0.03686282446149037,-0.006949477501863013,0.03542244464734623,0.013394877761979094,0.03505920299707669,0.00754978443300922,-0.01984773745481799,-0.5972497349711285,-0.004210355195213729,-0.22288115141505457,0.015409240559410193,-0.02479074487310652,0.019948246932315054,-0.017762916622044662,0.015058892267993125,-0.004332132976152173,0.08597748927790434,0.031028078705106116,0.10290679632417217,0.023420582635214824,-0.014564194933148228,-0.0019869456608082293,0.15232134219070834,-0.001630602356246296,0.0029279393017602015,0.003058031700111187,-0.06984934327936218,0.007305270451921945,0.09322743467231093,0.09897710230521767,-1.8538554391355696e-17,-0.10816712516729687,-1.8538554391355696e-17,0.18667102905987495,1.9795886028397885e-17,0.0074570165811180325,-0.003875198877594374,0.7874897733865349,1.9795886028397885e-17,-1.6419192435103276e-16,6.121990442047054e-17,-0.010474295828726192,0.04126044500764948,-0.06960466539864679,0.0412493964510115,0.09311497822506994,0.023420582635214824,-0.3762855384195289,0.023403609854307686,0.0071176252948006065,0.024289365747474017,0.7892154425963547,0.00015548604522251154,0.41343396078563277,-0.0010588386548796166,0.09786880090073352,4.0102160106032674e-17,0.3130016351306576,-0.01984773745481799,0.16211728337887574,-0.02017745238176654,-0.0065933451947668255,-0.015639894328440814,-0.016214337067891275,0.03672457980217075,-0.00262605378887033,-0.017545949463607935,-0.02910704510811623,-0.017815156137791676,0.0069190093882666,-0.002442156986944528,0.3487928640328633,0.003198331723763866,0.14452675626728442,-0.014755757269229855,0.0939141548905035,0.023420582635214824,-0.031429376240305486,-0.0007822050369925627
csmom_60__missing,3.942676536309734e-05,0.9846231740331444,1.9795886028397885e-17,1.0,-0.03168711637213762,0.9846231740331444,0.00853892286825828,0.7431305393393696,-0.056618609607711444,0.21626033613574439,0.0027595806064384444,0.42109880127133764,-0.03206816083750114,0.06159352960274809,-3.1045842383382096e-05,0.1270221515161641,-0.0029501783146060824,0.16696559195336638,0.03516947521081173,0.16207317121053355,0.013175872558723002,0.5955180247582272,0.0033324544629962415,0.019986584272618586,0.104282553806974,-0.016525033792834886,-0.005859301398123659,-0.0057464851592723305,0.02976724175073451,0.048743687907549946,0.34452661662097656,0.00047233311497178114,0.30053832912753325,0.029619176657871917,0.4976634440137587,-0.0006019970278142546,0.6420170795582345,0.0009697847200747005,0.5181820447685475,0.017756531643677784,0.6495121769136567,-0.01809132622282123,0.01879210244164595,0.6398482624615381,-0.02236723447813485,0.6398482624615381,0.0007958039758151815,1.0,-0.005311226238262446,0.2761526200349014,-0.006104069866150726,1.0,-0.011041283160558515,0.7059362326072776,-0.00010522313952885458,0.19199451475930798,-0.00038918246289167385,0.1938473120367276,0.004315515217688801,0.30053832912753325,0.0040867493204438075,0.30838802669596516,-0.028462717475623917,0.39404904888450526,-0.009159777585494846,0.9846231740331444,0.01519036264322,0.9779016572966797,0.025127343809668204,0.865012915618586,-0.042981582321021464,0.16207317121053355,-0.007572133969828179,0.19339872534666483,-0.0036736010972227492,0.2121372071935588,0.004946758484242198,0.15948494873487765,-0.005784910678388912,0.0015872038353584414,-0.010591433969742407,0.03685213466496194,-0.0008918707871454132,0.5295564035111372,-0.004644081285598979,0.6576201864135268,-0.03529414558234219,0.8687739703648719,0.0005613635145990078,0.30053832912753325,0.013463482438981683,0.7382403303941546
trend_efficiency_60__csz,0.11125810249249303,-0.032181972969763675,0.11742584300787892,-0.03168711637213762,1.0,-0.032181972969763675,0.04524982000909815,-0.00895785402169186,0.06779939887359433,0.016449412247828175,0.0010057922746868253,0.002597736665313045,0.02799219259941061,0.027047260568567925,0.000192885781784611,0.024699835748076455,-0.0008589045975966411,0.02287895151780867,0.0006866797069374088,-0.024695814720125345,-0.10300400165497291,-0.011683583666197926,-0.05217214501167321,0.00505350275663695,0.014288178711263224,-0.016144459454291993,0.0025071417727051547,0.009614650923159149,0.007759836304861419,0.02023601146768151,0.0034346731958324276,0.04651962455774985,0.018901363033793847,0.07269085863876454,-0.0004283759260096998,-0.010058414619607648,-0.007753841567279895,0.08287592573469896,-0.010322436509791517,-0.002154550999094223,-0.008884482186149935,0.055805999117042114,0.10237701543606918,-0.020274946353128577,-0.10206402712638635,-0.020274946353128577,-0.01140242938679019,-0.03168711637213762,-0.007984795146669525,-0.01036050087528425,0.11586101266430535,-0.03168711637213762,-0.016218838705802995,-0.02231674076401847,0.018030777289875205,0.022652467833738966,-0.009985692089823495,0.022586063160848848,0.03335220685307776,0.018901363033793847,-0.060423972022391616,0.01863202961766164,0.012484651556176802,0.006516017188820331,0.11212532507724776,-0.032181972969763675,0.0034308492446885725,-0.022153335388537802,0.07287669374320906,-0.027409764920608135,0.09474092106950283,-0.024695814720125345,0.01932736966214254,-0.03001435195417464,0.004176671467493641,-0.026289373608456113,0.004674065390199775,0.02252814744403813,-0.006077722674090975,0.0026080202574271004,-0.022318576285036557,0.0011605668330971406,0.004980562182497567,-0.002409224156853076,0.005477452220666156,-0.015036787639942316,0.17571216218945443,-0.013317122776299182,0.04213620639598224,0.018901363033793847,0.009494152218291821,-0.009432043391708266
trend_efficiency_60__missing,4.0042491790621106e-05,1.0,0.00015548604522251154,0.9846231740331444,-0.032181972969763675,1.0,0.008849100980708033,0.737649335783878,-0.056761137180506356,0.2570845105629581,0.0026829343262174845,0.4461332593998138,-0.03272806240176341,0.07291422405890116,-6.50277918972133e-05,0.13695878290704527,-0.0029558300998235873,0.17620347514325307,0.03486929344151001,0.1719686166764311,0.01710181701824424,0.5856292727471587,0.0031840425701041594,0.020784414809121146,0.10431468813013564,-0.016353258971438273,-0.014081936988648916,-0.005572340492068681,0.030758533577003627,0.05149766513641247,0.33866979367807737,0.0004928718020352046,0.3054820494220697,0.028959477943920828,0.5423897061696844,-0.0007913527330446329,0.675129918787761,0.0009138174041008138,0.5562683571171566,0.015314331786817558,0.6775428087314508,-0.019457165145526433,0.005463270762264843,0.6300094270844735,-0.012025680157803052,0.6300094270844735,0.0007516167571880112,0.9846231740331444,-0.005260208470842496,0.27547815162637057,-0.007900374445110358,0.9846231740331444,-0.010946064951482683,0.6949443685294214,4.134533183050164e-05,0.2007406959513183,-0.0003171735252672539,0.20256187052407051,0.004371342471781919,0.3054820494220697,0.004150571942872325,0.31320411181545,-0.027481458377477154,0.41291700609410853,-0.009302825514430044,1.0,0.015427590009889613,0.9931735135697184,0.009888451764525687,0.8517117625560289,-0.04321704423226874,0.1719686166764311,-0.007494083892842,0.20052729863353752,-0.0035439143679442844,0.21772860877482092,0.004711396075378528,0.1689599141990371,-0.005651012782376256,-0.0067623393826509535,-0.010104899911950781,0.027948285579297207,-0.0010072397748971018,0.5712204517383365,-0.004386901367037637,0.6865388645028208,-0.03584533303006957,0.8823415833351382,0.0005763791143220987,0.3054820494220697,0.013673741177382067,0.7497694040352767
multi_horizon_trend__csz,0.6187356705832221,0.008849100980708033,0.5920888281165513,0.00853892286825828,0.04524982000909815,0.008849100980708033,1.0,0.011490474978796066,0.15838750428744583,-0.011215184171425746,0.057515215087533024,-0.01723679314276066,-0.06621202566388841,0.06536290517991088,0.007214383021181346,0.0613282049968453,-0.0798961725130553,0.06295912929758053,0.004383890518184222,-0.008773959425872039,-0.6038196268920685,0.014098700607584046,-0.22054050420490637,0.0010726939009304695,-0.02848084998911432,0.01391712823976689,-0.02285072503114256,0.0026985391878673495,-0.013849924927559716,0.0666376335830041,0.07340653587816928,0.053520498021390736,0.0736586505168556,0.005360780025991128,0.005310832529513872,0.1018021447978203,0.006353117076687022,0.031403223289695546,0.0055326245117496,-0.05223242467934704,0.0068042604951000524,0.08756412896541987,0.04750617177048982,0.005463614960548165,-0.07561415548126317,0.005463614960548165,0.14089979940137518,0.008538922868258282,0.005367155126738838,-0.023470010161792444,0.4509577887891982,0.008538922868258282,-0.09528952525535951,0.0070121963171935,-0.07249962906414407,0.06321018462769303,-0.09936939558494459,0.06320951834979155,0.054714985974949316,0.0736586505168556,-0.2929186019106249,0.0736741581834645,-0.008798220863006351,0.022065689290537312,0.4499502682160369,0.00884910098070803,0.5785257430348747,0.008907597530983535,0.05569093816739102,0.0073862785665143186,0.2113937777531076,-0.008773959425872039,0.1332060272366258,-0.0040299021493121305,0.055065754293178996,0.0025235978122423435,-0.1170260172075635,0.06415443621242573,0.004811081056553709,-0.022699585263477404,-0.031954707788825705,-0.022553070642227946,0.00965326031784617,0.005552195616338321,0.30625060260483106,0.006664923019524952,0.04653188670895929,-0.0005479402236185355,0.04733333934794594,0.0736586505168556,-0.03711989152161788,0.011703242065284752
multi_horizon_trend__missing,-0.015145375669117424,0.737649335783878,-0.0016148525796603236,0.7431305393393696,-0.00895785402169186,0.737649335783878,0.011490474978796066,1.0,-0.052410370771527395,0.22714004116314437,0.00502352570369331,0.3696451043707001,-0.040632298663711784,0.04474005299516982,-0.0006409053802844663,0.09159681163582087,-0.015494432098120129,0.12118558769952087,0.04099296333043147,0.20271943255082436,0.01241795094376194,0.8576780644957869,6.73794276625333e-05,0.024048366862756618,0.13521557236680193,-0.019480093649161513,-0.01589401723203878,-0.001908855734491613,0.023978324408395042,0.06286139932248695,0.48563253257147665,0.0011374104609044938,0.40087515587314354,0.029320725650427547,0.397872420511397,0.012896704758389133,0.500116628133442,-0.0035854199427207043,0.4568082003731449,0.06615534897223103,0.5483455912393818,-0.01048731630016782,0.02041478634425186,0.4754907843783941,-0.016788098317155904,0.4754907843783941,-0.019280753377725827,0.7431305393393696,-0.007615429346717419,0.3717692442092229,-0.005440206737629505,0.7431305393393696,-0.0024828917979405063,0.6102616584722087,0.0002208198127971274,0.15778436453578978,-0.005235863308796923,0.15915718938290113,0.006448799549614906,0.40087515587314354,0.0047772270014216685,0.4065798464355265,-0.02510050771726661,0.3712868005167271,-0.027085056573971023,0.7376493357838778,0.015064631138009281,0.742944350732779,0.044700698604300156,0.6428175145191627,-0.046255009218360836,0.20271943255082436,-0.007969338127154606,0.2301728575858345,0.00038730747396038855,0.242507144291342,-0.011375799607666178,0.11800018075325903,-0.0014827450602419448,-0.01047750180354531,-0.011655997330507234,0.015812217552809038,0.0026756170571522885,0.4220325269904788,-0.004461086056454702,0.5512432908175633,-0.03543545106619222,0.68612802019323,0.0008972465301990115,0.40087515587314354,0.018117250908501612,0.993419448284863
carry_annualized__csz,0.22895940298892306,-0.056761137180506356,0.23859116329850766,-0.056618609607711444,0.06779939887359433,-0.056761137180506356,0.15838750428744583,-0.052410370771527395,1.0,-0.021551188389114403,0.3927119573280089,-0.04175340464163299,0.3417618998381596,0.015563106868219866,0.0008472642731178709,0.01468190062413384,0.11850739949084489,0.014637414697627492,-0.5262275607364006,-0.024471448228017258,-0.08352464916134617,-0.013125432629002266,-0.03806318909349132,0.09929382435879884,0.07005012851403318,0.019024443725472663,0.09435758124706549,0.02230645666757619,0.034201339759311236,0.16979577049346317,0.037791342904377204,0.49320762747781083,0.028764861498175164,-0.0044972275549868875,-0.02776870461305859,0.0016565597983626567,-0.04253215869272297,0.001785262417737902,-0.07203860387183841,-0.00102576911739912,-0.06609377439084688,0.06047274681001508,0.16835191586494694,-0.03984802391381259,-0.1711982401027374,-0.03984802391381259,-0.04136200834960252,-0.05661860960771142,0.024759545871774834,-0.036685841402455496,0.22771862544515103,-0.05661860960771142,-0.014049568875120835,-0.01682534475339376,0.10499499555909192,0.016211229262114782,0.05560469485283531,0.016248217111042955,0.48162180534485177,0.028764861498175164,0.2951223168584408,0.02911796816869405,0.06619963014304019,-0.02366565353692175,0.21578994656667236,-0.056761137180506356,0.07449824051913492,-0.05682848145334662,0.15718730241890166,-0.015073635965627268,0.6994149572231179,-0.024471448228017258,0.10328283657639586,-0.012742300479361812,-0.010614892257483471,0.002559078277842432,0.12615197327715327,0.013216460764846841,-0.0063971813755344656,0.09373361631241764,0.012849140448855791,0.08642095115246232,0.0049436804504117415,-0.03094252572896981,0.09849431831182957,-0.06725205538934832,0.12596752362813268,-0.05841588248381929,0.4867997996583093,0.028764861498175164,0.007845054498279627,-0.05263801219601032
carry_annualized__missing,-0.03412177193733114,0.2570845105629581,-0.024193934214903484,0.21626033613574439,0.016449412247828175,0.2570845105629581,-0.011215184171425746,0.22714004116314437,-0.021551188389114403,1.0,-0.0008540765772366118,0.7064886878374044,-0.030355904591986976,0.012010676621860334,0.0038739344226347643,0.030305734122486074,-0.008806190914385338,0.03383755461951891,0.004530850977991176,0.2778412641465735,0.018156850891603023,0.14232920792386733,0.004419493505553076,0.011643505467372046,0.019218514931929487,-0.018520006560765648,-0.10606105905916201,-0.024898464612962617,-0.01307296768037743,0.008215762369289262,0.12990956640252654,-0.012583317075912917,0.16741722068353015,0.06534224306390007,0.22783070119009183,-0.013230313364489954,0.32047436957597036,0.027865017660366934,0.23128108713889284,0.04060892935360438,0.27956918215261634,-0.029489056022293982,-0.05671808512832195,0.22257988061355977,0.0502738648736821,0.22257988061355977,-0.013681621900186652,0.21626033613574433,-0.0033188745133856455,0.14944826985889675,-0.02578664999900193,0.21626033613574433,-0.002398463664497534,0.08950654134339625,-0.03578993503802918,0.05827116947162333,-0.021668807774993942,0.05950206579274374,-0.013412749620446968,0.16741722068353015,0.0005211892598236461,0.16707775155738858,-0.038399825350042174,0.18658484162068517,-0.0360030377957029,0.2570845105629581,-0.024374869016363203,0.27514931213135996,-0.0010713309018957362,0.16590176277398389,-0.019259821676304845,0.2778412641465735,-0.0006697737518107611,0.22493149555388084,0.0017669922942504218,0.19596842805889242,-0.02451940041805611,0.027399645401631156,0.000402704886264755,-0.10400841348063958,-0.007730919329949064,-0.09583720344080703,0.009787754286649462,0.2186286979935188,-0.032789046156086854,0.28785030785074733,-0.023967667060612083,0.5899699490968554,-0.012270861669055253,0.16741722068353015,-0.014988159088720275,0.25025346017477135
