feature_name,source_factor,usage_type,selected_folds,first_test_year,last_test_year,selected_fold_share
amihud_20__cs_robust_z,Amihud非流动性,risk,7,2019,2025,1.0
amihud_20__missing,Amihud非流动性,quality_flag,6,2019,2024,0.8571428571428571
basis_momentum_20__cs_robust_z,基差动量,predictor,7,2019,2025,1.0
basis_momentum_20__missing,基差动量,quality_flag,7,2019,2025,1.0
basis_momentum_5__cs_robust_z,基差动量,predictor,5,2019,2023,0.7142857142857143
basis_momentum_5__missing,基差动量,quality_flag,5,2019,2023,0.7142857142857143
basis_momentum_60__cs_robust_z,基差动量,predictor,5,2019,2023,0.7142857142857143
basis_momentum_60__missing,基差动量,quality_flag,5,2019,2023,0.7142857142857143
carry__cs_robust_z,Carry,predictor,7,2019,2025,1.0
carry__missing,Carry,quality_flag,5,2019,2023,0.7142857142857143
carry_change_20__cs_robust_z,Carry变化,predictor,6,2020,2025,0.8571428571428571
carry_change_20__missing,Carry变化,quality_flag,6,2020,2025,0.8571428571428571
carry_change_60__cs_robust_z,Carry变化,predictor,7,2019,2025,1.0
carry_change_60__missing,Carry变化,quality_flag,7,2019,2025,1.0
correlation_risk_20_120__cs_robust_z,相关性风险,risk,7,2019,2025,1.0
correlation_risk_20_120__missing,相关性风险,quality_flag,7,2019,2025,1.0
csmom_120__cs_robust_z,横截面动量,predictor,7,2019,2025,1.0
csmom_120__missing,横截面动量,quality_flag,7,2019,2025,1.0
csmom_20__cs_robust_z,横截面动量,predictor,3,2019,2021,0.42857142857142855
csmom_20__missing,横截面动量,quality_flag,3,2019,2021,0.42857142857142855
curve_curvature__cs_robust_z,期限结构曲率,predictor,7,2019,2025,1.0
curve_curvature__missing,期限结构曲率,quality_flag,7,2019,2025,1.0
feature_available_count,全体入选因子,quality_flag,7,2019,2025,1.0
idiosyncratic_vol_60__cs_robust_z,特质波动,risk,7,2019,2025,1.0
idiosyncratic_vol_60__missing,特质波动,quality_flag,7,2019,2025,1.0
interaction__momentum_quality_60__carry__cs_robust_z,因子交互,predictor,4,2019,2022,0.5714285714285714
interaction__momentum_quality_60__carry__missing,因子交互,quality_flag,4,2019,2022,0.5714285714285714
interaction__tsmom_20__oi_surprise_20__cs_robust_z,因子交互,predictor,7,2019,2025,1.0
interaction__tsmom_20__oi_surprise_20__missing,因子交互,quality_flag,7,2019,2025,1.0
interaction__tsmom_60__carry__cs_robust_z,因子交互,predictor,2,2019,2020,0.2857142857142857
interaction__tsmom_60__carry__missing,因子交互,quality_flag,2,2019,2020,0.2857142857142857
low_vol_20__cs_robust_z,低波动,risk,5,2021,2025,0.7142857142857143
low_vol_20__missing,低波动,quality_flag,4,2021,2024,0.5714285714285714
low_vol_60__cs_robust_z,低波动,risk,7,2019,2025,1.0
low_vol_60__missing,低波动,quality_flag,7,2019,2025,1.0
momentum_quality_120__cs_robust_z,动量质量,predictor,5,2019,2023,0.7142857142857143
momentum_quality_120__missing,动量质量,quality_flag,5,2019,2023,0.7142857142857143
momentum_quality_20__cs_robust_z,动量质量,predictor,3,2019,2021,0.42857142857142855
momentum_quality_20__missing,动量质量,quality_flag,3,2019,2021,0.42857142857142855
oi_growth_20__cs_robust_z,持仓量增长,predictor,4,2020,2023,0.5714285714285714
oi_growth_20__missing,持仓量增长,quality_flag,4,2020,2023,0.5714285714285714
oi_growth_5__cs_robust_z,持仓量增长,predictor,7,2019,2025,1.0
oi_growth_5__missing,持仓量增长,quality_flag,3,2019,2021,0.42857142857142855
oi_surprise_20__cs_robust_z,持仓意外,predictor,7,2019,2025,1.0
oi_surprise_20__missing,持仓意外,quality_flag,6,2019,2024,0.8571428571428571
oi_surprise_60__cs_robust_z,持仓意外,predictor,7,2019,2025,1.0
oi_surprise_60__missing,持仓意外,quality_flag,7,2019,2025,1.0
orth__basis_momentum_20__vs__carry_change_20,基差动量,orthogonalized_predictor,5,2020,2025,0.7142857142857143
orth__basis_momentum_60__vs__carry_change_60,基差动量,orthogonalized_predictor,5,2019,2023,0.7142857142857143
orth__carry_change_20__vs__basis_momentum_20,Carry变化,orthogonalized_predictor,1,2023,2023,0.14285714285714285
orth__csmom_120__vs__tsmom_120,横截面动量,orthogonalized_predictor,1,2019,2019,0.14285714285714285
orth__csmom_20__vs__momentum_quality_20,横截面动量,orthogonalized_predictor,1,2019,2019,0.14285714285714285
orth__interaction__momentum_quality_60__carry__vs__interaction__tsmom_60__carry,因子交互,orthogonalized_predictor,2,2019,2020,0.2857142857142857
orth__low_vol_60__vs__low_vol_20,低波动,orthogonalized_predictor,5,2021,2025,0.7142857142857143
orth__low_vol_60__vs__realized_vol_120,低波动,orthogonalized_predictor,2,2019,2020,0.2857142857142857
orth__momentum_quality_120__vs__csmom_120,动量质量,orthogonalized_predictor,4,2020,2023,0.5714285714285714
orth__momentum_quality_120__vs__tsmom_120,动量质量,orthogonalized_predictor,1,2019,2019,0.14285714285714285
orth__momentum_quality_20__vs__csmom_20,动量质量,orthogonalized_predictor,1,2021,2021,0.14285714285714285
orth__oi_surprise_20__vs__oi_surprise_60,持仓意外,orthogonalized_predictor,7,2019,2025,1.0
orth__realized_vol_60__vs__low_vol_20,已实现波动率,orthogonalized_predictor,2,2021,2025,0.2857142857142857
orth__realized_vol_60__vs__realized_vol_120,已实现波动率,orthogonalized_predictor,2,2019,2020,0.2857142857142857
orth__reversal_20__vs__csmom_20,短期反转,orthogonalized_predictor,1,2021,2021,0.14285714285714285
orth__reversal_20__vs__momentum_quality_20,短期反转,orthogonalized_predictor,1,2019,2019,0.14285714285714285
orth__tsmom_120__vs__csmom_120,时间序列动量,orthogonalized_predictor,6,2020,2025,0.8571428571428571
orth__tsmom_20__vs__csmom_20,时间序列动量,orthogonalized_predictor,1,2021,2021,0.14285714285714285
orth__tsmom_20__vs__momentum_quality_20,时间序列动量,orthogonalized_predictor,1,2019,2019,0.14285714285714285
orth__value_120__vs__value_252,价值因子,orthogonalized_predictor,2,2019,2021,0.2857142857142857
orth__value_252__vs__value_120,价值因子,orthogonalized_predictor,1,2020,2020,0.14285714285714285
price_oi_20__cs_robust_z,价格—持仓量交互,predictor,4,2019,2023,0.5714285714285714
price_oi_20__missing,价格—持仓量交互,quality_flag,4,2019,2023,0.5714285714285714
realized_skew_120__cs_robust_z,已实现偏度,risk,7,2019,2025,1.0
realized_skew_120__missing,已实现偏度,quality_flag,7,2019,2025,1.0
realized_skew_60__cs_robust_z,已实现偏度,risk,7,2019,2025,1.0
realized_skew_60__missing,已实现偏度,quality_flag,7,2019,2025,1.0
realized_vol_120__cs_robust_z,已实现波动率,risk,2,2019,2020,0.2857142857142857
realized_vol_120__missing,已实现波动率,quality_flag,2,2019,2020,0.2857142857142857
realized_vol_60__cs_robust_z,已实现波动率,risk,4,2019,2025,0.5714285714285714
realized_vol_60__missing,已实现波动率,quality_flag,4,2019,2025,0.5714285714285714
relative_value_residual_60__cs_robust_z,相对价值残差,predictor,2,2020,2021,0.2857142857142857
relative_value_residual_60__missing,相对价值残差,quality_flag,2,2020,2021,0.2857142857142857
reversal_20__cs_robust_z,短期反转,predictor,3,2019,2021,0.42857142857142855
reversal_20__missing,短期反转,quality_flag,3,2019,2021,0.42857142857142855
reversal_5__cs_robust_z,短期反转,predictor,7,2019,2025,1.0
seasonality_3y_month__cs_robust_z,季节性,predictor,6,2020,2025,0.8571428571428571
seasonality_3y_month__missing,季节性,quality_flag,6,2020,2025,0.8571428571428571
term_structure_acceleration_20__cs_robust_z,期限结构加速度,predictor,4,2019,2022,0.5714285714285714
term_structure_acceleration_20__missing,期限结构加速度,quality_flag,4,2019,2022,0.5714285714285714
term_structure_acceleration_5__cs_robust_z,期限结构加速度,predictor,7,2019,2025,1.0
term_structure_acceleration_5__missing,期限结构加速度,quality_flag,7,2019,2025,1.0
term_structure_momentum_5__cs_robust_z,期限结构动量,predictor,7,2019,2025,1.0
term_structure_momentum_5__missing,期限结构动量,quality_flag,7,2019,2025,1.0
term_structure_slope__cs_robust_z,期限结构斜率,predictor,7,2019,2025,1.0
term_structure_slope__missing,期限结构斜率,quality_flag,5,2019,2023,0.7142857142857143
trend_efficiency_120__cs_robust_z,趋势效率,conditional,7,2019,2025,1.0
trend_efficiency_120__missing,趋势效率,quality_flag,7,2019,2025,1.0
trend_efficiency_20__cs_robust_z,趋势效率,conditional,7,2019,2025,1.0
trend_efficiency_20__missing,趋势效率,quality_flag,7,2019,2025,1.0
trend_efficiency_60__cs_robust_z,趋势效率,conditional,7,2019,2025,1.0
trend_efficiency_60__missing,趋势效率,quality_flag,7,2019,2025,1.0
tsmom_120__cs_robust_z,时间序列动量,predictor,7,2019,2025,1.0
tsmom_120__missing,时间序列动量,quality_flag,7,2019,2025,1.0
tsmom_20__cs_robust_z,时间序列动量,predictor,2,2019,2021,0.2857142857142857
tsmom_20__missing,时间序列动量,quality_flag,2,2019,2021,0.2857142857142857
value_120__cs_robust_z,价值因子,predictor,3,2019,2021,0.42857142857142855
value_120__missing,价值因子,quality_flag,3,2019,2021,0.42857142857142855
value_252__cs_robust_z,价值因子,predictor,3,2019,2021,0.42857142857142855
value_252__missing,价值因子,quality_flag,3,2019,2021,0.42857142857142855
vol_managed_momentum_120__cs_robust_z,波动率管理动量,risk,7,2019,2025,1.0
vol_managed_momentum_120__missing,波动率管理动量,quality_flag,7,2019,2025,1.0
vol_managed_momentum_20__cs_robust_z,波动率管理动量,risk,7,2019,2025,1.0
vol_managed_momentum_20__missing,波动率管理动量,quality_flag,7,2019,2025,1.0
vol_managed_momentum_60__cs_robust_z,波动率管理动量,risk,7,2019,2025,1.0
vol_managed_momentum_60__missing,波动率管理动量,quality_flag,7,2019,2025,1.0
volume_oi_turnover__cs_robust_z,成交量—持仓量换手率,conditional,7,2019,2025,1.0
volume_price_divergence_20__cs_robust_z,量价背离,conditional,7,2019,2025,1.0
volume_price_divergence_20__missing,量价背离,quality_flag,7,2019,2025,1.0
volume_shock_20__cs_robust_z,成交量冲击,conditional,7,2019,2025,1.0
volume_shock_20__missing,成交量冲击,quality_flag,5,2019,2023,0.7142857142857143
volume_shock_60__cs_robust_z,成交量冲击,conditional,7,2019,2025,1.0
volume_shock_60__missing,成交量冲击,quality_flag,7,2019,2025,1.0
